name,lat,lon
Мегион,61.04517923652213,76.08173208862158
Медведевский муниципальный район,56.61441039700633,47.75668244425536
Моздокский муниципальный район,43.688996350511694,44.576995576374365
Мостовский муниципальный район,53.404651372761926,24.594854527822232
Муниципальный район Город Краснокаменск и Краснокаменский район,50.09099710311159,118.08446857906428
Муниципальный район Сосногорск,63.7169495381266,54.93893722577441
Надеждинский муниципальный район,43.482692532179016,131.81308712705115
Невьянский,57.39550370430708,60.377160456040826
Нефтеюганский муниципальный район,60.3863844038271,71.88151573375174
Новозыбковский,52.58470991637919,31.8751619972094
Нягань,62.11099652662206,65.57216412776658
Осинниковский,53.8915567531835,78.79455073136083
Отрадный,53.376915822716406,51.33462517677363
Полевской,56.46959372380171,60.21597476971284
Приморско-Ахтарский муниципальный район,46.006691230946274,38.34550784917577
Промышленновский муниципальный округ,55.4984181,86.173651
Пыть-Ях,60.724553353315805,72.81741408400956
Радужный,62.11909952526751,77.47483068836165
Ревда,56.80987739109161,59.9265699656109
Режевской,57.40233230347274,61.24120805923659
Ростовский муниципальный район,57.09566684523444,39.34832038194527
Сафоновский муниципальный район,55.20792268265208,33.43212938277015
Светлогорский,54.7947717,51.1398939
Североуральский,60.345986047309104,59.73935570818536
Северский муниципальный район,44.75683678730166,38.69804065342306
Сегежский муниципальный район,63.659961530245305,34.502797426069584
Семеновский,58.11556122986218,52.771937407378374
Сергиевский муниципальный район,53.89842660113003,51.06491716965896
Сердобский муниципальный район,52.53767306193402,44.14260779869421
Сланцевский муниципальный район,59.084343955675266,28.357462797400903
Слюдянский муниципальный район,51.61159933270529,104.00939419632098
Советский,45.347791031847066,34.932242038939755
Советский городской округ (с 2018 года),45.347791031847066,34.932242038939755
Советский муниципальный район,45.3408901284807,34.961707796276556
Сокольский муниципальный район,57.22012424638093,43.42754202367931
Сорочинский,52.387252314011995,53.20948294674814
Сортавальский муниципальный район,61.750078761149176,30.67774531118893
Старорусский муниципальный район,57.85979324089413,31.40575471890204
Сухой Лог,56.91073269035748,62.03308564777568
Талдомский,56.72696264660068,37.63476411707046
Тамбовский муниципальный район,50.03085747486909,127.99473510669158
Тарский муниципальный район,57.50927393910129,74.63286627409991
Тихвинский муниципальный район,59.86466798776735,33.82455010127332
Топкинский муниципальный округ,55.30853678113102,85.42011741735448
Топкинский муниципальный район,55.30853678113102,85.42011741735448
Троицкий,54.628695721124345,56.681896840592074
Тутаевский муниципальный район,57.943744158609995,39.56578817380382
Угличский муниципальный район,57.4451090557145,38.34881437383066
Узловский муниципальный район,53.90821619902251,38.25422269663771
Урай,60.11329189139813,64.82970270628608
Чапаевск,52.981285,49.711193
Чебаркульский,54.98067060790928,60.35568107037699
Черепановский муниципальный район,54.20762919114664,83.30765026617475
Чернушинский,49.87241971349901,44.16339765942319
Чернушинский муниципальный район,56.54101538925018,56.17518333952966
Черняховский г.о.,54.642303005052035,21.769047460416285
Читинский муниципальный район,52.03696487462631,113.49193362997447
Шелеховский муниципальный район,52.03023361739458,103.83414469734352
Шуя,45.94864468415731,-113.23846871377813
Южноуральский,54.422405557679134,61.18180413978615
Юргинский,55.69214002014037,84.64111841371228
Ярцевский муниципальный район,55.207441475238305,32.772161275526926
город Азов,46.1589707377894,36.72169633443346
город Алапаевск,57.84428626790951,61.683958536405726
город Алексин,54.50617288983552,37.041815218869985
город Апатиты,67.58322728544154,33.414636947319686
город Белогорск,50.89582916676529,128.4650989824113
город Белокуриха,51.99779976399626,84.98194991575775
город Вятские Поляны,56.23590687978796,51.05428355690753
город Гуково,48.044387341823594,39.94288120123399
город Донецк,47.971293279636896,37.7658133784521
город Донской,53.97734237449152,38.346609093943535
город Заринск,53.72775276340171,84.92943983591637
город Ирбит,57.641911419244174,63.0242194660817
город Искитим,54.62263299424303,83.29901205482015
город Ишим,51.15445820648439,71.39012907574163
город Камень-на-Оби,53.790179926080974,81.31358278932836
город Канаш,55.510933009286525,47.50131141114922
город Канск,56.21195363048749,95.7049480253954
город Клинцы,52.7545596155378,32.2393209031885
город Кулебаки,55.415761277468654,42.525594626741885
город Лесосибирск,58.22146411916794,92.45743265192709
город Минусинск,53.713897013775856,91.68980880671786
город Мончегорск,67.92790946787431,32.875149863613096
город Моршанск,53.44120742654789,41.805362854432495
город Назарово,56.026007042530395,90.39187399969443
город Новоалтайск,53.413232710684845,83.92364026648349
город Нововоронеж,51.31899777169672,39.22197214225853
город Новошахтинск,47.78369518026946,39.918567634778675
город Обь,60.205247185844236,75.25615025043525
город Рассказово,52.65984404132272,41.89146047628472
город Саяногорск,53.09941877980754,91.40285298331038
город Саянск,54.10831840864099,102.17797913046056
город Сибай,52.71588047068051,58.673354333246245
город Славгород,48.110501133561634,35.51298491830042
город Сосновоборск,56.12713792066825,93.35730807511122
город Торжок,57.046436050427424,34.96597698595058
город Тулун,54.55025973440938,100.59488546690785
город Черемхово,53.126566450060245,103.11233735444887
город Черногорск,53.82127010377947,91.29514801437301
город Шадринск,56.10004947000815,63.66729768295121
город Шарыпово,55.539214120055995,89.17970951885208
город Шарья,58.36932357169032,45.51446334767157
город Ялуторовск,56.651101995184014,66.30138652572371
город-курорт Железноводск,44.127761601106705,43.04009236257107
