oktmo,name,year,harvest
1622000,Кулундинский муниципальный район,2014,12252.77
1622000,Кулундинский муниципальный район,2015,11250.76
1622000,Кулундинский муниципальный район,2016,12237.73
1622000,Кулундинский муниципальный район,2017,10749.15
1622000,Кулундинский муниципальный район,2018,8604.3
1622000,Кулундинский муниципальный район,2019,8657.83
1622000,Кулундинский муниципальный район,2020,7850.37
1622000,Кулундинский муниципальный район,2021,9022.12
1622000,Кулундинский муниципальный район,2022,8209.04
1623000,Курьинский муниципальный район,2007,8489.32
1623000,Курьинский муниципальный район,2008,8425.39
1623000,Курьинский муниципальный район,2009,8132.66
1623000,Курьинский муниципальный район,2010,7796.68
1623000,Курьинский муниципальный район,2011,5749.54
1623000,Курьинский муниципальный район,2012,5831.39
1623000,Курьинский муниципальный район,2013,5163.1
1623000,Курьинский муниципальный район,2014,4848.78
1623000,Курьинский муниципальный район,2015,4528.0
1623000,Курьинский муниципальный район,2016,4681.98
1623000,Курьинский муниципальный район,2017,4430.26
1623000,Курьинский муниципальный район,2018,4356.2
1623000,Курьинский муниципальный район,2019,4664.21
1623000,Курьинский муниципальный район,2020,4206.6
1623000,Курьинский муниципальный район,2021,4707.66
1623000,Курьинский муниципальный район,2022,4388.09
1624000,Кытмановский муниципальный район,2007,20522.5
1624000,Кытмановский муниципальный район,2008,20081.28
1624000,Кытмановский муниципальный район,2009,19155.15
1624000,Кытмановский муниципальный район,2010,18071.93
1624000,Кытмановский муниципальный район,2011,17273.47
1624000,Кытмановский муниципальный район,2012,15897.26
1624000,Кытмановский муниципальный район,2013,15120.19
1624000,Кытмановский муниципальный район,2014,13657.86
1624000,Кытмановский муниципальный район,2015,16292.53
1624000,Кытмановский муниципальный район,2016,17977.3
1624000,Кытмановский муниципальный район,2017,19597.43
1624000,Кытмановский муниципальный район,2018,32425.4
1624000,Кытмановский муниципальный район,2019,46023.96
1624000,Кытмановский муниципальный район,2020,48380.32
1624000,Кытмановский муниципальный район,2021,46780.17
1624000,Кытмановский муниципальный район,2022,48987.85
1625000,Локтевский муниципальный район,2007,30810.9
1625000,Локтевский муниципальный район,2008,29411.07
1625000,Локтевский муниципальный район,2009,27870.39
1625000,Локтевский муниципальный район,2010,25855.0
1625000,Локтевский муниципальный район,2011,22276.76
1625000,Локтевский муниципальный район,2012,19282.13
1625000,Локтевский муниципальный район,2013,16732.62
1625000,Локтевский муниципальный район,2014,13599.39
1625000,Локтевский муниципальный район,2015,11585.67
1625000,Локтевский муниципальный район,2016,11878.82
1625000,Локтевский муниципальный район,2017,12778.47
1625000,Локтевский муниципальный район,2018,10687.5
1625000,Локтевский муниципальный район,2019,10946.28
1625000,Локтевский муниципальный район,2020,9764.24
1625000,Локтевский муниципальный район,2021,9314.4
1625000,Локтевский муниципальный район,2022,8837.13
1626000,Мамонтовский муниципальный район,2007,29369.73
1626000,Мамонтовский муниципальный район,2008,29031.66
1626000,Мамонтовский муниципальный район,2009,28267.44
1626000,Мамонтовский муниципальный район,2010,27124.57
1626000,Мамонтовский муниципальный район,2011,24499.41
1626000,Мамонтовский муниципальный район,2012,21511.02
1626000,Мамонтовский муниципальный район,2013,20984.44
1626000,Мамонтовский муниципальный район,2014,17970.67
1626000,Мамонтовский муниципальный район,2015,18170.6
1626000,Мамонтовский муниципальный район,2016,19007.71
1626000,Мамонтовский муниципальный район,2017,16396.06
1626000,Мамонтовский муниципальный район,2018,15442.9
1626000,Мамонтовский муниципальный район,2019,16612.95
1626000,Мамонтовский муниципальный район,2020,14849.75
1626000,Мамонтовский муниципальный район,2021,14694.78
1626000,Мамонтовский муниципальный район,2022,15150.69
1627000,Михайловский муниципальный район,2007,30387.0
1627000,Михайловский муниципальный район,2008,28493.74
1627000,Михайловский муниципальный район,2009,31573.91
1627000,Михайловский муниципальный район,2010,44263.75
1627000,Михайловский муниципальный район,2011,58121.18
1627000,Михайловский муниципальный район,2012,62467.06
1627000,Михайловский муниципальный район,2013,70547.7
1627000,Михайловский муниципальный район,2014,46684.09
1627000,Михайловский муниципальный район,2015,34413.56
1627000,Михайловский муниципальный район,2016,27991.68
1627000,Михайловский муниципальный район,2017,26210.9
1627000,Михайловский муниципальный район,2018,10611.9
1627000,Михайловский муниципальный район,2019,28251.39
1627000,Михайловский муниципальный район,2020,12995.22
1627000,Михайловский муниципальный район,2021,8275.06
1627000,Михайловский муниципальный район,2022,14066.56
1628000,Новичихинский муниципальный район,2007,9689.72
1628000,Новичихинский муниципальный район,2008,9698.9
1628000,Новичихинский муниципальный район,2009,9539.67
1628000,Новичихинский муниципальный район,2010,9269.14
1628000,Новичихинский муниципальный район,2011,9600.32
1628000,Новичихинский муниципальный район,2012,8861.92
1628000,Новичихинский муниципальный район,2013,9086.41
1628000,Новичихинский муниципальный район,2014,8528.74
1628000,Новичихинский муниципальный район,2015,8083.54
1628000,Новичихинский муниципальный район,2016,8712.06
1628000,Новичихинский муниципальный район,2017,7688.04
1628000,Новичихинский муниципальный район,2018,6554.1
1628000,Новичихинский муниципальный район,2019,6794.87
1628000,Новичихинский муниципальный район,2020,6076.01
1628000,Новичихинский муниципальный район,2021,6536.24
1628000,Новичихинский муниципальный район,2022,6350.16
1629000,Зональный муниципальный район,2007,27385.39
1629000,Зональный муниципальный район,2008,27817.52
1629000,Зональный муниципальный район,2009,27724.1
1629000,Зональный муниципальный район,2010,26991.08
1629000,Зональный муниципальный район,2011,26998.31
1629000,Зональный муниципальный район,2012,25053.18
1629000,Зональный муниципальный район,2013,24923.01
1629000,Зональный муниципальный район,2014,23111.26
1629000,Зональный муниципальный район,2015,20975.77
1629000,Зональный муниципальный район,2016,22680.4
1629000,Зональный муниципальный район,2017,21036.54
1629000,Зональный муниципальный район,2018,20112.0
1629000,Зональный муниципальный район,2019,23919.55
1629000,Зональный муниципальный район,2020,19174.01
1629000,Зональный муниципальный район,2021,18839.11
1629000,Зональный муниципальный район,2022,19257.58
1630000,Павловский муниципальный район,2007,46943.23
1630000,Павловский муниципальный район,2008,47437.08
1630000,Павловский муниципальный район,2009,45310.99
1630000,Павловский муниципальный район,2010,44084.74
