oktmo,name,year,naturesecure
01629000,Зональный муниципальный район,2009,643.0
01629000,Зональный муниципальный район,2011,895.0
01629000,Зональный муниципальный район,2012,2079.0
01629000,Зональный муниципальный район,2013,4401.0
01629000,Зональный муниципальный район,2014,4785.0
01629000,Зональный муниципальный район,2015,3392.0
01629000,Зональный муниципальный район,2016,2214.0
01629000,Зональный муниципальный район,2017,2379.0
01629000,Зональный муниципальный район,2018,4127.0
01629000,Зональный муниципальный район,2019,5474.0
01629000,Зональный муниципальный район,2020,6682.0
01629000,Зональный муниципальный район,2021,9246.0
01629000,Зональный муниципальный район,2022,14628.0
01630000,Павловский муниципальный район,2008,6942.2
01630000,Павловский муниципальный район,2009,2792.5
01630000,Павловский муниципальный район,2010,1930.0
01630000,Павловский муниципальный район,2011,5258.7
01630000,Павловский муниципальный район,2012,9046.0
01630000,Павловский муниципальный район,2013,6996.0
01630000,Павловский муниципальный район,2014,7544.0
01630000,Павловский муниципальный район,2015,8887.0
01630000,Павловский муниципальный район,2016,5940.0
01630000,Павловский муниципальный район,2017,3140.0
01630000,Павловский муниципальный район,2019,15583.0
01630000,Павловский муниципальный район,2020,38244.0
01630000,Павловский муниципальный район,2021,27641.0
01630000,Павловский муниципальный район,2022,32938.0
01631000,Панкрушихинский муниципальный район,2008,8.6
01631000,Панкрушихинский муниципальный район,2009,2.4
01631000,Панкрушихинский муниципальный район,2010,120.9
01631000,Панкрушихинский муниципальный район,2011,53.6
01631000,Панкрушихинский муниципальный район,2012,147.0
01631000,Панкрушихинский муниципальный район,2013,114.0
01632000,Первомайский муниципальный район,2008,240.8
01632000,Первомайский муниципальный район,2009,415.0
01632000,Первомайский муниципальный район,2010,795.0
01632000,Первомайский муниципальный район,2011,700.3
01632000,Первомайский муниципальный район,2012,1047.0
01632000,Первомайский муниципальный район,2013,1390.0
01632000,Первомайский муниципальный район,2014,1641.0
01632000,Первомайский муниципальный район,2015,3533.0
01632000,Первомайский муниципальный район,2016,3221.0
01632000,Первомайский муниципальный район,2017,3308.0
01632000,Первомайский муниципальный район,2018,2754.0
01632000,Первомайский муниципальный район,2019,2284.0
01632000,Первомайский муниципальный район,2020,8060.0
01632000,Первомайский муниципальный район,2021,6925.0
01632000,Первомайский муниципальный район,2022,5912.0
01633000,Петропавловский муниципальный район,2008,38.0
01633000,Петропавловский муниципальный район,2009,42.0
01633000,Петропавловский муниципальный район,2010,80.0
01633000,Петропавловский муниципальный район,2011,99.0
01633000,Петропавловский муниципальный район,2012,122.0
01633000,Петропавловский муниципальный район,2013,228.0
01633000,Петропавловский муниципальный район,2014,200.0
01634000,Поспелихинский муниципальный район,2008,84.1
01634000,Поспелихинский муниципальный район,2009,93.1
01634000,Поспелихинский муниципальный район,2010,114.5
01634000,Поспелихинский муниципальный район,2011,132.6
01634000,Поспелихинский муниципальный район,2012,78.0
01634000,Поспелихинский муниципальный район,2013,162.0
01634000,Поспелихинский муниципальный район,2014,260.0
01634000,Поспелихинский муниципальный район,2015,413.0
01634000,Поспелихинский муниципальный район,2016,665.0
01634000,Поспелихинский муниципальный район,2018,306.0
01634000,Поспелихинский муниципальный район,2019,286.0
01634000,Поспелихинский муниципальный район,2020,543.0
01634000,Поспелихинский муниципальный район,2021,944.0
01634000,Поспелихинский муниципальный район,2022,602.0
01635000,Ребрихинский муниципальный район,2008,196.4
01635000,Ребрихинский муниципальный район,2009,233.0
01635000,Ребрихинский муниципальный район,2010,278.9
01635000,Ребрихинский муниципальный район,2011,487.9
01635000,Ребрихинский муниципальный район,2012,745.0
01635000,Ребрихинский муниципальный район,2013,329.0
01635000,Ребрихинский муниципальный район,2014,262.0
