oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
01647000,Тальменский муниципальный район,2008,1.87
01647000,Тальменский муниципальный район,2009,2.469
01647000,Тальменский муниципальный район,2010,3.052
01647000,Тальменский муниципальный район,2011,2.825
01648000,Тогульский муниципальный район,2008,1.61
01648000,Тогульский муниципальный район,2009,0.351
01648000,Тогульский муниципальный район,2010,0.588
01648000,Тогульский муниципальный район,2011,0.716
01649000,Топчихинский муниципальный район,2008,0.8
01649000,Топчихинский муниципальный район,2009,1.948
01649000,Топчихинский муниципальный район,2010,1.237
01649000,Топчихинский муниципальный район,2011,1.169
01650000,Третьяковский муниципальный район,2008,0.37
01650000,Третьяковский муниципальный район,2009,1.469
01650000,Третьяковский муниципальный район,2010,1.477
01650000,Третьяковский муниципальный район,2011,1.788
01651000,Троицкий муниципальный район,2008,2.75
01651000,Троицкий муниципальный район,2009,3.955
01651000,Троицкий муниципальный район,2010,4.816
01651000,Троицкий муниципальный район,2011,4.927
01652000,Тюменцевский муниципальный район,2008,0.74
01652000,Тюменцевский муниципальный район,2009,0.693
01652000,Тюменцевский муниципальный район,2010,1.142
01652000,Тюменцевский муниципальный район,2011,0.905
01653000,Угловский муниципальный район,2008,0.58
01653000,Угловский муниципальный район,2009,1.358
01653000,Угловский муниципальный район,2010,1.579
01653000,Угловский муниципальный район,2011,1.527
01654000,Усть-Калманский муниципальный район,2008,1.01
01654000,Усть-Калманский муниципальный район,2009,1.091
01654000,Усть-Калманский муниципальный район,2010,1.166
01654000,Усть-Калманский муниципальный район,2011,1.321
01655000,Усть-Пристанский муниципальный район,2008,0.26
01655000,Усть-Пристанский муниципальный район,2009,0.292
01655000,Усть-Пристанский муниципальный район,2010,0.222
01655000,Усть-Пристанский муниципальный район,2011,0.305
01656000,Хабарский муниципальный район,2008,1.11
01656000,Хабарский муниципальный район,2009,1.388
01656000,Хабарский муниципальный район,2010,2.065
01656000,Хабарский муниципальный район,2011,1.729
01657000,Целинный муниципальный район,2008,0.64
01657000,Целинный муниципальный район,2009,0.422
01657000,Целинный муниципальный район,2010,0.668
01657000,Целинный муниципальный район,2011,0.307
01658000,Чарышский муниципальный район,2008,0.6
01658000,Чарышский муниципальный район,2009,0.637
01658000,Чарышский муниципальный район,2010,0.805
01658000,Чарышский муниципальный район,2011,0.657
01659000,Шипуновский муниципальный район,2008,0.52
01659000,Шипуновский муниципальный район,2009,0.535
01659000,Шипуновский муниципальный район,2010,0.688
01659000,Шипуновский муниципальный район,2011,0.819
01660000,Немецкий национальный муниципальный район,2008,0.15
01660000,Немецкий национальный муниципальный район,2009,0.168
01660000,Немецкий национальный муниципальный район,2010,
01660000,Немецкий национальный муниципальный район,2011,0.513
01701000,город Барнаул,2008,7.38
01701000,город Барнаул,2009,7.889
01701000,город Барнаул,2010,8.554
01701000,город Барнаул,2011,8.267
01703000,город Алейск,2008,1.37
01703000,город Алейск,2009,1.149
01703000,город Алейск,2010,0.982
01703000,город Алейск,2011,1.366
01704000,город Белокуриха,2008,7.91
01704000,город Белокуриха,2009,11.36
01704000,город Белокуриха,2010,12.646
01704000,город Белокуриха,2011,10.54
01705000,город Бийск,2008,1.58
01705000,город Бийск,2009,2.367
01705000,город Бийск,2010,1.101
01705000,город Бийск,2011,2.33
