oktmo,name,year,factoriescap
1631000,Панкрушихинский муниципальный район,2019,496437.9
1631000,Панкрушихинский муниципальный район,2020,555996.7
1631000,Панкрушихинский муниципальный район,2021,533889.4
1631000,Панкрушихинский муниципальный район,2022,930382.0
1632000,Первомайский муниципальный район,2017,2126260.7
1632000,Первомайский муниципальный район,2018,1995464.0
1632000,Первомайский муниципальный район,2019,2296117.3
1632000,Первомайский муниципальный район,2020,2566492.7
1632000,Первомайский муниципальный район,2021,3175945.8
1632000,Первомайский муниципальный район,2022,4708291.5
1633000,Петропавловский муниципальный район,2017,905034.3
1633000,Петропавловский муниципальный район,2018,1456649.7
1633000,Петропавловский муниципальный район,2019,1341256.0
1633000,Петропавловский муниципальный район,2020,1579783.4
1633000,Петропавловский муниципальный район,2021,1575228.1
1633000,Петропавловский муниципальный район,2022,2055407.8
1634000,Поспелихинский муниципальный район,2017,2641451.3
1634000,Поспелихинский муниципальный район,2018,2995567.6
1634000,Поспелихинский муниципальный район,2019,3615843.4
1634000,Поспелихинский муниципальный район,2020,4291015.6
1634000,Поспелихинский муниципальный район,2021,5175973.5
1634000,Поспелихинский муниципальный район,2022,5748779.3
1635000,Ребрихинский муниципальный район,2017,876180.3
1635000,Ребрихинский муниципальный район,2018,1827106.1
1635000,Ребрихинский муниципальный район,2019,1817839.3
1635000,Ребрихинский муниципальный район,2020,1757366.0
1635000,Ребрихинский муниципальный район,2021,2107535.6
1635000,Ребрихинский муниципальный район,2022,1476819.1
1636000,Родинский муниципальный район,2017,720755.1
1636000,Родинский муниципальный район,2018,763195.6
1636000,Родинский муниципальный район,2019,877192.7
1636000,Родинский муниципальный район,2020,964693.6
1636000,Родинский муниципальный район,2021,1362104.6
1636000,Родинский муниципальный район,2022,1157715.5
1637000,Романовский муниципальный район,2017,735713.2
1637000,Романовский муниципальный район,2018,942808.0
1637000,Романовский муниципальный район,2019,951346.9
1637000,Романовский муниципальный район,2020,1011339.6
1637000,Романовский муниципальный район,2021,1437525.6
1637000,Романовский муниципальный район,2022,1328993.1
1638000,Рубцовский муниципальный район,2017,4347409.2
1638000,Рубцовский муниципальный район,2018,5089058.3
1638000,Рубцовский муниципальный район,2019,6382064.7
1638000,Рубцовский муниципальный район,2020,7439127.3
1638000,Рубцовский муниципальный район,2021,11490941.3
1638000,Рубцовский муниципальный район,2022,11319738.3
1640000,Смоленский муниципальный район,2017,2000427.1
1640000,Смоленский муниципальный район,2018,2099423.1
1640000,Смоленский муниципальный район,2019,2796009.4
1640000,Смоленский муниципальный район,2020,3667821.7
1640000,Смоленский муниципальный район,2021,4052491.8
1640000,Смоленский муниципальный район,2022,4440202.6
1641000,Суетский муниципальный район,2017,199001.7
1641000,Суетский муниципальный район,2018,205721.9
1641000,Суетский муниципальный район,2019,1044354.1
1641000,Суетский муниципальный район,2020,1120229.7
1641000,Суетский муниципальный район,2021,1637169.8
1641000,Суетский муниципальный район,2022,1374780.7
1642000,Советский муниципальный район,2017,2635718.6
1642000,Советский муниципальный район,2018,2454775.5
1642000,Советский муниципальный район,2019,3013944.8
1642000,Советский муниципальный район,2020,3398708.8
1642000,Советский муниципальный район,2021,5133608.1
1642000,Советский муниципальный район,2022,5660919.0
1643000,Солонешенский муниципальный район,2017,193047.4
1643000,Солонешенский муниципальный район,2018,218448.8
1643000,Солонешенский муниципальный район,2019,198695.8
1643000,Солонешенский муниципальный район,2020,295465.4
1643000,Солонешенский муниципальный район,2021,255139.0
1643000,Солонешенский муниципальный район,2022,280779.4
1644000,Солтонский муниципальный район,2017,117832.5
1644000,Солтонский муниципальный район,2018,140566.8
1644000,Солтонский муниципальный район,2019,157053.4
1644000,Солтонский муниципальный район,2020,155690.9
1644000,Солтонский муниципальный район,2021,162971.2
1644000,Солтонский муниципальный район,2022,325682.4
1645000,Шелаболихинский муниципальный район,2017,1375287.2
1645000,Шелаболихинский муниципальный район,2018,970120.7
1645000,Шелаболихинский муниципальный район,2019,1844236.8
1645000,Шелаболихинский муниципальный район,2020,1933271.9
1645000,Шелаболихинский муниципальный район,2021,2897237.2
1645000,Шелаболихинский муниципальный район,2022,3165657.3
1646000,Табунский муниципальный район,2017,1722753.3
1646000,Табунский муниципальный район,2018,1732709.7
1646000,Табунский муниципальный район,2019,1978894.3
1646000,Табунский муниципальный район,2020,1588084.3
1646000,Табунский муниципальный район,2021,1413954.6
1646000,Табунский муниципальный район,2022,1403498.2
1647000,Тальменский муниципальный район,2017,2865552.5
