oktmo,name,year,parks
3608101,Белореченское,2008,1.0
3608101,Белореченское,2009,1.0
3608101,Белореченское,2010,1.0
3608101,Белореченское,2011,1.0
3608101,Белореченское,2012,1.0
3608101,Белореченское,2013,1.0
3608101,Белореченское,2014,1.0
3608101,Белореченское,2015,1.0
3608101,Белореченское,2016,1.0
3608101,Белореченское,2017,1.0
3612000,Выселковский муниципальный район,2007,1.0
3612000,Выселковский муниципальный район,2008,1.0
3612000,Выселковский муниципальный район,2009,1.0
3612000,Выселковский муниципальный район,2010,1.0
3612000,Выселковский муниципальный район,2011,1.0
3612000,Выселковский муниципальный район,2012,1.0
3612000,Выселковский муниципальный район,2013,1.0
3612000,Выселковский муниципальный район,2014,1.0
3612000,Выселковский муниципальный район,2015,2.0
3612000,Выселковский муниципальный район,2016,2.0
3612000,Выселковский муниципальный район,2017,2.0
3612407,Березанское,2015,1.0
3612407,Березанское,2016,1.0
3612407,Березанское,2017,1.0
3612413,Выселковское,2007,1.0
3612413,Выселковское,2008,1.0
3612413,Выселковское,2009,1.0
3612413,Выселковское,2010,1.0
3612413,Выселковское,2011,1.0
3612413,Выселковское,2012,1.0
3612413,Выселковское,2013,1.0
3612413,Выселковское,2014,1.0
3612413,Выселковское,2015,1.0
3612413,Выселковское,2016,1.0
3612413,Выселковское,2017,1.0
3613000,Гулькевичский муниципальный район,2007,1.0
3613000,Гулькевичский муниципальный район,2008,1.0
3613000,Гулькевичский муниципальный район,2009,1.0
3613000,Гулькевичский муниципальный район,2010,1.0
3613000,Гулькевичский муниципальный район,2011,1.0
3613000,Гулькевичский муниципальный район,2012,1.0
3613000,Гулькевичский муниципальный район,2013,1.0
3613000,Гулькевичский муниципальный район,2014,1.0
3613000,Гулькевичский муниципальный район,2015,1.0
3613000,Гулькевичский муниципальный район,2016,1.0
3613000,Гулькевичский муниципальный район,2017,1.0
3613101,Гулькевичское,2007,1.0
3613101,Гулькевичское,2008,1.0
3613101,Гулькевичское,2009,1.0
3613101,Гулькевичское,2010,1.0
3613101,Гулькевичское,2011,1.0
3613101,Гулькевичское,2012,1.0
3613101,Гулькевичское,2013,1.0
3613101,Гулькевичское,2014,1.0
3613101,Гулькевичское,2015,1.0
3613101,Гулькевичское,2016,1.0
3613101,Гулькевичское,2017,1.0
3614000,Динской муниципальный район,2007,1.0
3614000,Динской муниципальный район,2008,1.0
3614000,Динской муниципальный район,2009,1.0
3614000,Динской муниципальный район,2010,1.0
3614000,Динской муниципальный район,2011,3.0
3614000,Динской муниципальный район,2012,1.0
3614000,Динской муниципальный район,2013,1.0
3614000,Динской муниципальный район,2014,1.0
3614000,Динской муниципальный район,2015,1.0
3614000,Динской муниципальный район,2016,1.0
3614000,Динской муниципальный район,2017,1.0
3614402,Васюринское,2011,2.0
3614404,Динское,2007,1.0
3614404,Динское,2008,1.0
3614404,Динское,2009,1.0
3614404,Динское,2010,1.0
3614404,Динское,2011,1.0
3614404,Динское,2012,1.0
3614404,Динское,2013,1.0
3614404,Динское,2014,1.0
3614404,Динское,2015,1.0
3614404,Динское,2016,1.0
3614404,Динское,2017,1.0
3616000,Ейский муниципальный район,2008,1.0
3616000,Ейский муниципальный район,2009,1.0
3616000,Ейский муниципальный район,2010,1.0
3616000,Ейский муниципальный район,2011,1.0
3616000,Ейский муниципальный район,2012,1.0
3616000,Ейский муниципальный район,2013,1.0
3616000,Ейский муниципальный район,2014,1.0
3616000,Ейский муниципальный район,2015,1.0
3616000,Ейский муниципальный район,2016,1.0
3616000,Ейский муниципальный район,2017,1.0
3616101,Ейское,2008,1.0
3616101,Ейское,2009,1.0
3616101,Ейское,2010,1.0
3616101,Ейское,2011,1.0
3616101,Ейское,2012,1.0
3616101,Ейское,2013,1.0
3616101,Ейское,2014,1.0
3616101,Ейское,2015,1.0
3616101,Ейское,2016,1.0
3616101,Ейское,2017,1.0
3618000,Кавказский муниципальный район,2008,1.0
3618000,Кавказский муниципальный район,2009,1.0
3618000,Кавказский муниципальный район,2010,1.0
3618000,Кавказский муниципальный район,2011,1.0
3618000,Кавказский муниципальный район,2012,1.0
3618000,Кавказский муниципальный район,2013,1.0
3618000,Кавказский муниципальный район,2014,1.0
3618000,Кавказский муниципальный район,2015,1.0
3618000,Кавказский муниципальный район,2016,1.0
3618000,Кавказский муниципальный район,2017,1.0
3618101,Кропоткинское,2008,1.0
3618101,Кропоткинское,2009,1.0
3618101,Кропоткинское,2010,1.0
3618101,Кропоткинское,2011,1.0
3618101,Кропоткинское,2012,1.0
3618101,Кропоткинское,2013,1.0
3618101,Кропоткинское,2014,1.0
3618101,Кропоткинское,2015,1.0
3618101,Кропоткинское,2016,1.0
3618101,Кропоткинское,2017,1.0
3620000,Каневской муниципальный район,2007,4.0
3620000,Каневской муниципальный район,2008,4.0
3620000,Каневской муниципальный район,2009,4.0
3620000,Каневской муниципальный район,2010,4.0
3620000,Каневской муниципальный район,2011,4.0
3620000,Каневской муниципальный район,2012,4.0
3620000,Каневской муниципальный район,2013,4.0
3620000,Каневской муниципальный район,2014,4.0
3620000,Каневской муниципальный район,2015,4.0
3620000,Каневской муниципальный район,2016,4.0
3620000,Каневской муниципальный район,2017,4.0
3620402,Каневское,2007,2.0
3620402,Каневское,2008,2.0
3620402,Каневское,2009,2.0
3620402,Каневское,2010,2.0
3620402,Каневское,2011,2.0
3620402,Каневское,2012,2.0
3620402,Каневское,2013,2.0
3620402,Каневское,2014,2.0
3620402,Каневское,2015,2.0
3620402,Каневское,2016,2.0
3620402,Каневское,2017,2.0
3620407,Новодеревянковское,2007,1.0
3620407,Новодеревянковское,2008,1.0
3620407,Новодеревянковское,2009,1.0
3620407,Новодеревянковское,2010,1.0
3620407,Новодеревянковское,2011,1.0
3620407,Новодеревянковское,2012,1.0
3620407,Новодеревянковское,2013,1.0
3620407,Новодеревянковское,2014,1.0
3620407,Новодеревянковское,2015,1.0
3620407,Новодеревянковское,2016,1.0
3620407,Новодеревянковское,2017,1.0
3620410,Новоминское,2007,1.0
3620410,Новоминское,2008,1.0
3620410,Новоминское,2009,1.0
3620410,Новоминское,2010,1.0
3620410,Новоминское,2011,1.0
3620410,Новоминское,2012,1.0
3620410,Новоминское,2013,1.0
3620410,Новоминское,2014,1.0
3620410,Новоминское,2015,1.0
3620410,Новоминское,2016,1.0
3620410,Новоминское,2017,1.0
3621000,Кореновский муниципальный район,2007,1.0
3621000,Кореновский муниципальный район,2008,1.0
3621000,Кореновский муниципальный район,2009,1.0
3621000,Кореновский муниципальный район,2010,1.0
3621000,Кореновский муниципальный район,2011,1.0
3621000,Кореновский муниципальный район,2012,1.0
3621000,Кореновский муниципальный район,2013,1.0
3621000,Кореновский муниципальный район,2014,1.0
3621000,Кореновский муниципальный район,2015,1.0
3621000,Кореновский муниципальный район,2016,1.0
3621000,Кореновский муниципальный район,2017,1.0
3621101,Кореновское,2007,1.0
3621101,Кореновское,2008,1.0
3621101,Кореновское,2009,1.0
3621101,Кореновское,2010,1.0
3621101,Кореновское,2011,1.0
3621101,Кореновское,2012,1.0
3621101,Кореновское,2013,1.0
3621101,Кореновское,2014,1.0
3621101,Кореновское,2015,1.0
3621101,Кореновское,2016,1.0
3621101,Кореновское,2017,1.0
3627000,Курганинский муниципальный район,2007,7.0
3627000,Курганинский муниципальный район,2008,7.0
3627000,Курганинский муниципальный район,2009,7.0
3627000,Курганинский муниципальный район,2010,7.0
3627000,Курганинский муниципальный район,2011,7.0
3627000,Курганинский муниципальный район,2012,7.0
