oktmo,name,year,livarea
oktmo,municipality,year,indicator_value
01624000,Кытмановский муниципальный район,2014,27.9
01624000,Кытмановский муниципальный район,2015,28.1
01624000,Кытмановский муниципальный район,2016,28.2
01624000,Кытмановский муниципальный район,2017,28.4
01624000,Кытмановский муниципальный район,2018,28.9
01624000,Кытмановский муниципальный район,2019,29.6
01624000,Кытмановский муниципальный район,2020,30.1
01624000,Кытмановский муниципальный район,2021,31.1
01624000,Кытмановский муниципальный район,2022,36.0
01625000,Локтевский муниципальный район,2008,20.8
01625000,Локтевский муниципальный район,2009,22.0
01625000,Локтевский муниципальный район,2010,22.37
01625000,Локтевский муниципальный район,2011,23.0
01625000,Локтевский муниципальный район,2012,23.6
01625000,Локтевский муниципальный район,2013,24.4
01625000,Локтевский муниципальный район,2014,24.4
01625000,Локтевский муниципальный район,2015,24.6
01625000,Локтевский муниципальный район,2016,24.9
01625000,Локтевский муниципальный район,2017,25.5
01625000,Локтевский муниципальный район,2018,26.2
01625000,Локтевский муниципальный район,2019,26.8
01625000,Локтевский муниципальный район,2020,27.5
01625000,Локтевский муниципальный район,2021,28.0
01625000,Локтевский муниципальный район,2022,32.8
01626000,Мамонтовский муниципальный район,2008,25.06
01626000,Мамонтовский муниципальный район,2009,26.0
01626000,Мамонтовский муниципальный район,2010,26.33
01626000,Мамонтовский муниципальный район,2011,26.9
01626000,Мамонтовский муниципальный район,2012,27.5
01626000,Мамонтовский муниципальный район,2013,27.8
01626000,Мамонтовский муниципальный район,2014,28.1
01626000,Мамонтовский муниципальный район,2015,28.3
01626000,Мамонтовский муниципальный район,2016,28.4
01626000,Мамонтовский муниципальный район,2017,28.6
01626000,Мамонтовский муниципальный район,2018,29.0
01626000,Мамонтовский муниципальный район,2019,29.4
01626000,Мамонтовский муниципальный район,2020,29.8
01626000,Мамонтовский муниципальный район,2021,30.2
01626000,Мамонтовский муниципальный район,2022,34.6
01627000,Михайловский муниципальный район,2008,19.23
01627000,Михайловский муниципальный район,2009,21.3
01627000,Михайловский муниципальный район,2010,21.17
01627000,Михайловский муниципальный район,2011,22.2
01627000,Михайловский муниципальный район,2012,22.5
01627000,Михайловский муниципальный район,2013,22.9
01627000,Михайловский муниципальный район,2014,23.4
01627000,Михайловский муниципальный район,2015,23.8
01627000,Михайловский муниципальный район,2016,24.0
01627000,Михайловский муниципальный район,2017,24.2
01627000,Михайловский муниципальный район,2018,24.7
01627000,Михайловский муниципальный район,2019,24.8
01627000,Михайловский муниципальный район,2020,25.2
01627000,Михайловский муниципальный район,2021,25.7
01627000,Михайловский муниципальный район,2022,29.1
01628000,Новичихинский муниципальный район,2008,26.57
01628000,Новичихинский муниципальный район,2009,27.2
01628000,Новичихинский муниципальный район,2010,27.47
01628000,Новичихинский муниципальный район,2011,27.8
01628000,Новичихинский муниципальный район,2012,28.5
01628000,Новичихинский муниципальный район,2013,28.9
01628000,Новичихинский муниципальный район,2014,29.4
01628000,Новичихинский муниципальный район,2015,29.6
01628000,Новичихинский муниципальный район,2016,30.1
01628000,Новичихинский муниципальный район,2017,30.5
01628000,Новичихинский муниципальный район,2018,30.9
01628000,Новичихинский муниципальный район,2019,31.4
01628000,Новичихинский муниципальный район,2020,32.0
01628000,Новичихинский муниципальный район,2021,32.9
01628000,Новичихинский муниципальный район,2022,36.9
01629000,Зональный муниципальный район,2008,20.11
01629000,Зональный муниципальный район,2009,20.5
01629000,Зональный муниципальный район,2010,20.71
01629000,Зональный муниципальный район,2011,20.5
01629000,Зональный муниципальный район,2012,20.6
01629000,Зональный муниципальный район,2013,18.3
01629000,Зональный муниципальный район,2014,18.6
01629000,Зональный муниципальный район,2015,18.7
01629000,Зональный муниципальный район,2016,19.0
01629000,Зональный муниципальный район,2017,19.1
01629000,Зональный муниципальный район,2018,19.5
01629000,Зональный муниципальный район,2019,19.7
01629000,Зональный муниципальный район,2020,20.1
01629000,Зональный муниципальный район,2021,20.5
01629000,Зональный муниципальный район,2022,24.7
01630000,Павловский муниципальный район,2008,20.32
01630000,Павловский муниципальный район,2009,21.6
01630000,Павловский муниципальный район,2010,21.79
01630000,Павловский муниципальный район,2011,22.0
01630000,Павловский муниципальный район,2012,22.1
01630000,Павловский муниципальный район,2013,21.9
01630000,Павловский муниципальный район,2014,22.3
01630000,Павловский муниципальный район,2015,22.5
01630000,Павловский муниципальный район,2016,22.9
01630000,Павловский муниципальный район,2017,23.3
01630000,Павловский муниципальный район,2018,24.1
01630000,Павловский муниципальный район,2019,24.7
01630000,Павловский муниципальный район,2020,25.5
01630000,Павловский муниципальный район,2021,26.2
01630000,Павловский муниципальный район,2022,25.7
01631000,Панкрушихинский муниципальный район,2008,24.61
01631000,Панкрушихинский муниципальный район,2009,27.5
01631000,Панкрушихинский муниципальный район,2010,28.04
01631000,Панкрушихинский муниципальный район,2011,28.7
01631000,Панкрушихинский муниципальный район,2012,29.3
01631000,Панкрушихинский муниципальный район,2013,24.6
01631000,Панкрушихинский муниципальный район,2014,25.0
01631000,Панкрушихинский муниципальный район,2015,25.4
01631000,Панкрушихинский муниципальный район,2016,25.6
01631000,Панкрушихинский муниципальный район,2017,26.0
01631000,Панкрушихинский муниципальный район,2018,26.5
01631000,Панкрушихинский муниципальный район,2019,26.8
01631000,Панкрушихинский муниципальный район,2020,27.5
01631000,Панкрушихинский муниципальный район,2021,27.4
01631000,Панкрушихинский муниципальный район,2022,32.5
01632000,Первомайский муниципальный район,2008,18.88
01632000,Первомайский муниципальный район,2009,19.1
01632000,Первомайский муниципальный район,2010,19.68
01632000,Первомайский муниципальный район,2011,19.9
01632000,Первомайский муниципальный район,2012,20.3
01632000,Первомайский муниципальный район,2013,20.5
01632000,Первомайский муниципальный район,2014,20.9
01632000,Первомайский муниципальный район,2015,21.4
01632000,Первомайский муниципальный район,2016,21.8
01632000,Первомайский муниципальный район,2017,22.3
01632000,Первомайский муниципальный район,2018,22.8
01632000,Первомайский муниципальный район,2019,23.7
01632000,Первомайский муниципальный район,2020,25.0
01632000,Первомайский муниципальный район,2021,26.9
01632000,Первомайский муниципальный район,2022,29.8
01633000,Петропавловский муниципальный район,2008,20.67
01633000,Петропавловский муниципальный район,2009,21.8
01633000,Петропавловский муниципальный район,2010,22.02
01633000,Петропавловский муниципальный район,2011,22.2
01633000,Петропавловский муниципальный район,2012,22.4
01633000,Петропавловский муниципальный район,2013,22.9
01633000,Петропавловский муниципальный район,2014,23.1
01633000,Петропавловский муниципальный район,2015,23.1
01633000,Петропавловский муниципальный район,2016,23.3
01633000,Петропавловский муниципальный район,2017,23.4
01633000,Петропавловский муниципальный район,2018,23.9
01633000,Петропавловский муниципальный район,2019,24.5
01633000,Петропавловский муниципальный район,2020,25.0
01633000,Петропавловский муниципальный район,2021,25.5
01633000,Петропавловский муниципальный район,2022,27.1
01634000,Поспелихинский муниципальный район,2008,22.32
01634000,Поспелихинский муниципальный район,2009,24.0
01634000,Поспелихинский муниципальный район,2010,24.73
01634000,Поспелихинский муниципальный район,2011,25.0
01634000,Поспелихинский муниципальный район,2012,25.6
01634000,Поспелихинский муниципальный район,2013,23.5
01634000,Поспелихинский муниципальный район,2014,23.6
01634000,Поспелихинский муниципальный район,2015,23.9
01634000,Поспелихинский муниципальный район,2016,24.2
01634000,Поспелихинский муниципальный район,2017,24.3
01634000,Поспелихинский муниципальный район,2018,24.6
01634000,Поспелихинский муниципальный район,2019,25.1
01634000,Поспелихинский муниципальный район,2020,25.4
01634000,Поспелихинский муниципальный район,2021,25.8
01634000,Поспелихинский муниципальный район,2022,29.0
01635000,Ребрихинский муниципальный район,2008,22.75
01635000,Ребрихинский муниципальный район,2009,24.1
01635000,Ребрихинский муниципальный район,2010,24.43
01635000,Ребрихинский муниципальный район,2011,24.8
01635000,Ребрихинский муниципальный район,2012,25.4
01635000,Ребрихинский муниципальный район,2013,26.0
01635000,Ребрихинский муниципальный район,2014,26.2
01635000,Ребрихинский муниципальный район,2015,26.5
01635000,Ребрихинский муниципальный район,2016,26.7
01635000,Ребрихинский муниципальный район,2017,27.0
01635000,Ребрихинский муниципальный район,2018,27.3
01635000,Ребрихинский муниципальный район,2019,27.7
01635000,Ребрихинский муниципальный район,2020,28.2
01635000,Ребрихинский муниципальный район,2021,28.8
01635000,Ребрихинский муниципальный район,2022,33.0
01636000,Родинский муниципальный район,2008,23.08
01636000,Родинский муниципальный район,2009,25.4
01636000,Родинский муниципальный район,2010,25.5
01636000,Родинский муниципальный район,2011,26.2
01636000,Родинский муниципальный район,2012,26.9
01636000,Родинский муниципальный район,2013,27.5
01636000,Родинский муниципальный район,2014,27.8
01636000,Родинский муниципальный район,2015,28.2
01636000,Родинский муниципальный район,2016,28.4
01636000,Родинский муниципальный район,2017,28.8
01636000,Родинский муниципальный район,2018,29.5
01636000,Родинский муниципальный район,2019,30.2
01636000,Родинский муниципальный район,2020,30.8
01636000,Родинский муниципальный район,2021,31.5
01636000,Родинский муниципальный район,2022,37.1
01637000,Романовский муниципальный район,2008,23.72
01637000,Романовский муниципальный район,2009,25.3
01637000,Романовский муниципальный район,2010,25.47
01637000,Романовский муниципальный район,2011,26.1
01637000,Романовский муниципальный район,2012,26.8
01637000,Романовский муниципальный район,2013,27.5
01637000,Романовский муниципальный район,2014,27.9
01637000,Романовский муниципальный район,2015,28.4
01637000,Романовский муниципальный район,2016,28.8
01637000,Романовский муниципальный район,2017,29.3
01637000,Романовский муниципальный район,2018,29.5
01637000,Романовский муниципальный район,2019,29.7
01637000,Романовский муниципальный район,2020,29.9
01637000,Романовский муниципальный район,2021,30.7
01637000,Романовский муниципальный район,2022,32.2
01638000,Рубцовский муниципальный район,2008,21.64
01638000,Рубцовский муниципальный район,2009,23.4
01638000,Рубцовский муниципальный район,2010,23.65
