oktmo,name,year,cliniccap
1607405,Быстроистокский сельсовет,2012,170.0
1607405,Быстроистокский сельсовет,2013,170.0
1607411,Верх-Ануйский сельсовет,2008,37.0
1607411,Верх-Ануйский сельсовет,2009,37.0
1607411,Верх-Ануйский сельсовет,2010,37.0
1607411,Верх-Ануйский сельсовет,2011,37.0
1607411,Верх-Ануйский сельсовет,2012,37.0
1607411,Верх-Ануйский сельсовет,2013,37.0
1607433,Новопокровский сельсовет,2008,39.0
1607433,Новопокровский сельсовет,2009,39.0
1607433,Новопокровский сельсовет,2010,39.0
1607433,Новопокровский сельсовет,2011,39.0
1607433,Новопокровский сельсовет,2012,39.0
1607433,Новопокровский сельсовет,2013,39.0
1607455,Хлеборобный сельсовет,2008,20.0
1607455,Хлеборобный сельсовет,2009,20.0
1607455,Хлеборобный сельсовет,2010,20.0
1607455,Хлеборобный сельсовет,2011,20.0
1607455,Хлеборобный сельсовет,2012,20.0
1607455,Хлеборобный сельсовет,2013,20.0
1608000,Волчихинский муниципальный район,2008,235.0
1608000,Волчихинский муниципальный район,2009,235.0
1608000,Волчихинский муниципальный район,2010,235.0
1608000,Волчихинский муниципальный район,2011,235.0
1608000,Волчихинский муниципальный район,2012,235.0
1608000,Волчихинский муниципальный район,2013,235.0
1608421,Волчихинский сельсовет,2008,165.0
1608421,Волчихинский сельсовет,2009,165.0
1608421,Волчихинский сельсовет,2010,165.0
1608421,Волчихинский сельсовет,2011,165.0
1608421,Волчихинский сельсовет,2012,165.0
1608421,Волчихинский сельсовет,2013,165.0
1608423,Востровский сельсовет,2008,15.0
1608423,Востровский сельсовет,2009,15.0
1608423,Востровский сельсовет,2010,15.0
1608423,Востровский сельсовет,2011,15.0
1608423,Востровский сельсовет,2012,15.0
1608423,Востровский сельсовет,2013,15.0
1608478,Солоновский сельсовет,2008,55.0
1608478,Солоновский сельсовет,2009,55.0
1608478,Солоновский сельсовет,2010,55.0
1608478,Солоновский сельсовет,2011,55.0
1608478,Солоновский сельсовет,2012,55.0
1608478,Солоновский сельсовет,2013,55.0
1609000,Егорьевский муниципальный район,2008,400.0
1609000,Егорьевский муниципальный район,2009,400.0
1609000,Егорьевский муниципальный район,2010,400.0
1609000,Егорьевский муниципальный район,2011,400.0
1609000,Егорьевский муниципальный район,2012,400.0
1609000,Егорьевский муниципальный район,2013,400.0
1609433,Новоегорьевский сельсовет,2008,300.0
1609433,Новоегорьевский сельсовет,2009,300.0
1609433,Новоегорьевский сельсовет,2010,300.0
1609433,Новоегорьевский сельсовет,2011,300.0
1609433,Новоегорьевский сельсовет,2012,300.0
1609433,Новоегорьевский сельсовет,2013,300.0
1609444,Первомайский сельсовет,2008,50.0
1609444,Первомайский сельсовет,2009,50.0
1609444,Первомайский сельсовет,2010,50.0
1609444,Первомайский сельсовет,2011,50.0
1609444,Первомайский сельсовет,2012,50.0
1609444,Первомайский сельсовет,2013,50.0
1609455,Сростинский сельсовет,2008,50.0
1609455,Сростинский сельсовет,2009,50.0
1609455,Сростинский сельсовет,2010,50.0
1609455,Сростинский сельсовет,2011,50.0
1609455,Сростинский сельсовет,2012,50.0
1609455,Сростинский сельсовет,2013,50.0
1610000,Ельцовский муниципальный район,2008,239.0
1610000,Ельцовский муниципальный район,2009,129.0
1610000,Ельцовский муниципальный район,2010,129.0
1610000,Ельцовский муниципальный район,2011,129.0
1610000,Ельцовский муниципальный район,2012,129.0
1610000,Ельцовский муниципальный район,2013,129.0
1610422,Ельцовский сельсовет,2008,229.0
1610422,Ельцовский сельсовет,2009,106.0
1610422,Ельцовский сельсовет,2010,106.0
1610422,Ельцовский сельсовет,2011,106.0
1610422,Ельцовский сельсовет,2012,106.0
1610422,Ельцовский сельсовет,2013,106.0
1610433,Мартыновский сельсовет,2009,12.0
1610433,Мартыновский сельсовет,2010,12.0
1610433,Мартыновский сельсовет,2011,12.0
1610433,Мартыновский сельсовет,2012,12.0
1610433,Мартыновский сельсовет,2013,12.0
1610466,Пуштулимский сельсовет,2008,10.0
1610466,Пуштулимский сельсовет,2009,11.0
1610466,Пуштулимский сельсовет,2010,11.0
1610466,Пуштулимский сельсовет,2011,11.0
1610466,Пуштулимский сельсовет,2012,11.0
1610466,Пуштулимский сельсовет,2013,11.0
1611000,Завьяловский муниципальный район,2008,405.0
1611000,Завьяловский муниципальный район,2009,405.0
1611000,Завьяловский муниципальный район,2010,405.0
1611000,Завьяловский муниципальный район,2011,405.0
1611000,Завьяловский муниципальный район,2012,405.0
1611000,Завьяловский муниципальный район,2013,405.0
1611411,Гилёвский сельсовет,2008,25.0
1611411,Гилёвский сельсовет,2009,25.0
1611411,Гилёвский сельсовет,2010,25.0
1611411,Гилёвский сельсовет,2011,25.0
1611411,Гилёвский сельсовет,2012,25.0
1611411,Гилёвский сельсовет,2013,25.0
1611416,Глубоковский сельсовет,2008,25.0
1611416,Глубоковский сельсовет,2009,25.0
1611416,Глубоковский сельсовет,2010,25.0
1611416,Глубоковский сельсовет,2011,25.0
1611416,Глубоковский сельсовет,2012,25.0
1611416,Глубоковский сельсовет,2013,25.0
1611423,Гоноховский сельсовет,2008,30.0
1611423,Гоноховский сельсовет,2009,30.0
1611423,Гоноховский сельсовет,2010,30.0
1611423,Гоноховский сельсовет,2011,30.0
1611423,Гоноховский сельсовет,2012,30.0
1611423,Гоноховский сельсовет,2013,30.0
1611434,Завьяловский сельсовет,2008,250.0
1611434,Завьяловский сельсовет,2009,250.0
1611434,Завьяловский сельсовет,2010,250.0
1611434,Завьяловский сельсовет,2011,250.0
1611434,Завьяловский сельсовет,2012,250.0
1611434,Завьяловский сельсовет,2013,250.0
1611445,Камышенский сельсовет,2008,25.0
1611445,Камышенский сельсовет,2009,25.0
1611445,Камышенский сельсовет,2010,25.0
1611445,Камышенский сельсовет,2011,25.0
1611445,Камышенский сельсовет,2012,25.0
1611445,Камышенский сельсовет,2013,25.0
1611456,Малиновский сельсовет,2008,25.0
1611456,Малиновский сельсовет,2009,25.0
1611456,Малиновский сельсовет,2010,25.0
1611456,Малиновский сельсовет,2011,25.0
1611456,Малиновский сельсовет,2012,25.0
1611456,Малиновский сельсовет,2013,25.0
1611478,Харитоновский сельсовет,2008,25.0
1611478,Харитоновский сельсовет,2009,25.0
1611478,Харитоновский сельсовет,2010,25.0
1611478,Харитоновский сельсовет,2011,25.0
1611478,Харитоновский сельсовет,2012,25.0
1611478,Харитоновский сельсовет,2013,25.0
1612000,Залесовский муниципальный район,2008,310.0
1612000,Залесовский муниципальный район,2009,310.0
1612000,Залесовский муниципальный район,2010,310.0
1612000,Залесовский муниципальный район,2011,310.0
1612000,Залесовский муниципальный район,2012,310.0
1612000,Залесовский муниципальный район,2013,310.0
1612426,Залесовский сельсовет,2008,230.0
1612426,Залесовский сельсовет,2009,230.0
1612426,Залесовский сельсовет,2010,230.0
1612426,Залесовский сельсовет,2011,230.0
1612426,Залесовский сельсовет,2012,230.0
1612426,Залесовский сельсовет,2013,230.0
1612481,Черёмушкинский сельсовет,2008,50.0
1612481,Черёмушкинский сельсовет,2009,50.0
1612481,Черёмушкинский сельсовет,2010,50.0
1612481,Черёмушкинский сельсовет,2011,50.0
1612481,Черёмушкинский сельсовет,2012,50.0
1612481,Черёмушкинский сельсовет,2013,50.0
1612492,Шатуновский сельсовет,2008,30.0
1612492,Шатуновский сельсовет,2009,30.0
1612492,Шатуновский сельсовет,2010,30.0
1612492,Шатуновский сельсовет,2011,30.0
1612492,Шатуновский сельсовет,2012,30.0
1612492,Шатуновский сельсовет,2013,30.0
1613000,Заринский муниципальный район,2008,57.0
1613000,Заринский муниципальный район,2009,57.0
1613000,Заринский муниципальный район,2010,57.0
1613000,Заринский муниципальный район,2011,57.0
1613000,Заринский муниципальный район,2012,57.0
1613000,Заринский муниципальный район,2013,57.0
1613428,Голухинский сельсовет,2008,20.0
1613428,Голухинский сельсовет,2009,20.0
1613428,Голухинский сельсовет,2010,20.0
1613428,Голухинский сельсовет,2011,20.0
1613428,Голухинский сельсовет,2012,20.0
1613428,Голухинский сельсовет,2013,20.0
1613468,Новомоношкинский сельсовет,2008,10.0
1613468,Новомоношкинский сельсовет,2009,10.0
1613468,Новомоношкинский сельсовет,2010,10.0
1613468,Новомоношкинский сельсовет,2011,10.0
1613468,Новомоношкинский сельсовет,2012,10.0
1613468,Новомоношкинский сельсовет,2013,10.0
1613474,Смазневский сельсовет,2008,12.0
1613474,Смазневский сельсовет,2009,12.0
1613474,Смазневский сельсовет,2010,12.0
1613474,Смазневский сельсовет,2011,12.0
1613474,Смазневский сельсовет,2012,12.0
1613474,Смазневский сельсовет,2013,12.0
1613488,Тягунский сельсовет,2008,15.0
1613488,Тягунский сельсовет,2009,15.0
1613488,Тягунский сельсовет,2010,15.0
1613488,Тягунский сельсовет,2011,15.0
1613488,Тягунский сельсовет,2012,15.0
1613488,Тягунский сельсовет,2013,15.0
1614000,Змеиногорский муниципальный район,2008,300.0
1614000,Змеиногорский муниципальный район,2009,980.0
1614000,Змеиногорский муниципальный район,2010,844.0
1614000,Змеиногорский муниципальный район,2011,844.0
1614000,Змеиногорский муниципальный район,2012,853.0
1614000,Змеиногорский муниципальный район,2013,849.0
