name,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Иваново,404.6,81.1,671,35023.2,25.3,22.1,74.4,133.1,287,24.7,53.1,19519,62057.100000000006,2336.5,159.8,2259,43696.3,1838.0,1875
Иваново,401.5,79.9,9367,37178.0,25.8,22.5,76.4,136.9,297.4,46.1,54,18278,66514.79999999999,3925.7,138.3,2024,46077,1754.1,81
Иваново,400,78.8,1024,40733.0,26.1,24.5,78.9,143.4,307.3,42.3,56.7,17541,83442.9,4000.9,91.1,1068,57488.6,2328.8,2808
Калуга,332,116.8,387,47073.9,26.2,16.9,65.7,122.6,260.9,18,53.2,10364,438083.6,11640.1,310.4,4613,52753.1,1010.2,-3391
Калуга,331.8,115,3352,49568.9,26.6,17.5,63.6,142.9,229.6,35.1,52.5,9960,347886.80000000005,16394,217,3111,58210.9,957.8,2282
Калуга,335.6,114,581,54480.2,27,17.4,69.4,145.3,303.8,34.9,54.6,9541,382808.1,16843.8,283.8,4083,70702.9,1430.9,7349
Обнинск,117.4,28.3,211,56203.3,27.8,6.7,67.6,113,333.7,18.5,44.4,4214,55905.3,670.1,102.7,1495,15218.3,627.4,-480
Обнинск,116.2,29.8,442,59137,28.7,6.9,77.9,144.9,345.4,17.9,42.1,4028,76496.5,256.3,88.6,1656,17875.8,625.4,-559
Обнинск,121.5,29.4,251,65868.2,28.4,6.9,70.6,101.9,341.8,28.5,45.4,3829,74454.8,641.4,115,1847,20551.7,870.1,6077
Кострома,276.9,68.1,579,39472.6,26.1,13.7,51.3,84.9,292.3,35.1,54,8775,72278.40000000001,983.4,97.9,1635,19638.2,786.9,1607
Кострома,277.4,67.1,6550,39738,26.6,14.1,49.6,82.7,294.9,43.2,55.4,8268,67707.5,2231.1,157.6,2215,21592.2,812.6,2021
Кострома,277,66.9,812,44154.1,27.2,15.4,50.1,79.4,296.1,32.1,57.9,8120,97045.0,2778.4,195.6,2926,27722.5,1032.0,2128
Курск,453,114,1447,35166.2,28,16.4,79.1,97.2,332.2,19.4,43.2,12662,98578.6,8943.4,268.1,3867,54562.8,1041.0,4712
Курск,451,111.7,10381,37715.6,28.6,16.7,81.8,99.4,327.3,30.3,46.2,12033,100748.3,7923.5,230.9,3236,60587.5,811.3,803
Курск,447.4,110.2,1384,41806.9,29.5,16.6,82.3,102.9,340.8,32.4,47.3,12000,119543.9,8188.7,303.4,3756,71334.2,1055.2,805
Липецк,508.6,134.6,871,43661.2,28.8,23.6,63.5,96.4,499,9.2,66.4,13069,548827.1,11164.9,606.8,6331,69960.5,1439.1,763
Липецк,503.2,131.9,3182,46034.4,30.2,24.3,62,98.3,489.6,8.7,65.3,13080,587566.7999999999,12547.9,608.1,5951,75565.5,1298.6,-1624
Липецк,496.4,131.9,994,49475.1,31.7,23.9,61.7,97.5,507.5,7.7,62.4,12528,979373.0,9503.7,551.7,7483,93422.7,1604.5,-1157
Балашиха,507.4,57.3,1176,63066.3,29.4,20.7,18.4,30.5,146.9,15.9,42.3,8541,65161.3,7512.6,437.7,8571,99542.2,3000.2,15896
Долгопрудный,116,18.6,244,82040.1,30.7,7.8,31,41.5,148.7,33.5,53.2,3450,37752.9,3673,96.5,1637,13418.2,512.9,4323
Домодедово,137.2,57.5,388,70084.0,43.07),8.5,28.9,28,164.8,6.6,35.4,4694,32596.4,14355.1,146.9,2122,39456.4,7216.5,3738
Жуковский,107.6,28.1,377,73020.3,23.2,5.4,34.1,55.8,105.9,11.2,43.5,2808,20903.800000000003,4127.6,58.9,1256,15521,422.8,210
Коломна,140.1,38.3,410,51367.9,25.67),7.2,29.4,53.8,106.7,26.6,62.1,2853,83834.0,351.1,40.8,499,18397.7,904.5,-464
Королев,225.9,50.7,510,69030.6,26.8,10.2,27.6,50.3,144.3,4.7,47.3,5826,82720.5,1976.3,118.7,2162,30541.7,1412.4,1662
Красногорск,175.6,58.2,363,72558.8,35.57),7.6,32.9,39.5,196,32.6,31.2,7631,73237.59999999999,21762.5,510.1,9972,57174.6,4685.7,3779
Люберцы,205.3,28.2,718,61808.5,31.47),13.1,31.6,56.4,181.7,3.2,42.2,6261,21177.4,8071.3,283.6,5750,34272.8,1968.4,-2518
Мытищи,235.5,68.2,698,65233.5,28.47),10.8,30.6,37.7,198.7,4.8,40,10198,212194.9,12344.4,341.8,6784,121168.4,3827.1,12964
Ногинск,104,30.6,364,55238.0,29.67),6.6,25.1,59.6,128.4,18,41.9,2787,103014.3,2126.9,85.9,1797,21165.4,1050.4,1879
Одинцово,135.5,34.1,474,61181.1,46.77),9.6,28.2,39.8,187.9,15.4,36.3,5681,42017.9,1656.7,252.5,4712,31193.1,2103,-2331
Орехово-Зуево,118.3,19.1,826,48900.6,24.67),5.6,27.7,74.1,216,31.9,45.6,1671,21334.0,320.8,22.1,192,18290.9,447.6,779
Подольск,308.1,77.5,941,60617.8,29.47),18.1,35.4,60.4,187.9,22.6,52.2,8119,145993.0,6262.1,64.4,928,64855.2,2719.6,4418
Пушкино,107.6,20.2,377,52380.7,37.47),5.8,28.1,41.6,187.4,6.5,38.7,4605,31255.0,4540.2,114.6,1403,30521.3,896.9,919
Рамен-ское,121.9,24.6,426,56982.0,32.37),5.9,20,39.1,127.3,17,51.8,2639,40723.0,864.6,152.7,2585,22014.4,815.5,1458
Реутов,108.1,18.2,378,62387.6,31.3,6.4,26.7,29.2,93.7,6.6,40.4,2045,46827.2,531.3,45.6,978,23854.0,1385.4,1455
СергиевПосад,100.3,25.5,929,47516.2,35.17),4.6,29.5,51.9,259.8,41.5,44.6,3755,16716.6,3370.7,80.2,1115,19258.7,864.7,-1342
Серпухов,126.3,21.3,442,50100.9,30.27),6.3,26.6,51.4,120.8,41.2,57.1,2545,25976.899999999998,2595,93.3,734,17143.1,1363.2,1925
Химки,259.6,96,647,83092.5,36.8,14.1,26,33.3,154.2,4.4,31.4,11499,31596.5,17860.7,414.6,7967,136967.7,33056.0,5606
Щелково,126.1,30.9,440,65356.2,29.07),6.1,27.4,48.1,164.4,7.4,43.3,3620,91348.70000000001,1213.5,120.6,1828,23692.7,797,589
Электро-сталь,156,29,672,51397.3,21.87),7.2,19.4,44.6,142.4,13.9,50.5,2618,51363.1,437,26,524,16839.9,1122.5,-516
Балашиха,507.3,59.7,11160,65595.5,30.4,23.3,19.2,30.5,147.5,13.8,45.8,8066,61689.2,15883.2,575,12306,110606.3,2711.6,-748
Долгопрудный,117.8,20.3,1777,83069.4,30.5,7.8,29.5,38.1,146.5,20.6,53.9,3182,40040.799999999996,2506.3,41.6,741,16225.1,568.8,1936
Домодедово,135.1,56.6,3780,64430.3,44.37),9.5,30.3,28.8,170.6,12.5,39.2,4179,36891.7,11969.0,92.3,949,43298.1,5991.7,-1596
Жуковский,107.6,28.6,2367,72898.0,23.2,5.3,34.7,54.8,105.9,7.7,47.7,2710,21381.100000000002,3043.5,3.5,26,15062.9,398.4,1121
Коломна,138.7,38.8,2912,54507.3,26.87),7.3,…,…,…,8.3,63.4,2815,81379.59999999999,644.7,30,365,21821.0,1222.4,-553
Королев,225.3,50.3,3149,72388.2,30.1,10.8,27.7,46.6,144.7,8.2,37.7,5503,81800.3,2762.6,136.3,2578,33405.5,903,495
