name,year,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Находка,2021,140.9,32.5,584,65813.1,26.9,8.7,37.5,62.2,284.9,4.5,19.3,3824,18671.6,3141.8,44.6,389,9798.4,166,-1363
Уссурийск,2019,199.3,37.6,454,45671.0,21.5,7.8,36.4,129.1,208.8,47.2,43.7,4516,24048.8,928.3,46.5,558,3625.8,42.9,489
Уссурийск,2020,198.3,36,1508,48733.1,21.9,7.9,35.8,130.5,208.1,68.1,5.1,4313,18318.7,698.9,72.4,1032,5964.2,888.1,-486
Уссурийск,2021,197.2,34.3,763,52435.7,22.3,8.6,34.5,125.4,196.5,56.8,51.5,4173,27098.6,2879.8,76.6,1061,5195.0,929.2,-335
Хабаровск,2019,616.4,187,1012,62724.5,23.5,24.6,85.9,105.5,384.6,26.7,40,25135,61238.899999999994,16276.1,197.5,3029,68739.2,3156.4,-481
Хабаровск,2020,610.3,185.6,5328,65851.5,24,25.4,88,103,385.9,16.7,40.8,23252,103108.6,17931.1,144.8,2202,80058.9,3784.2,-3305
Хабаровск,2021,613.5,182,1287,71801.2,25.1,26.5,87.2,114.5,382.9,14.1,39.9,22224,114388.70000000001,17559.5,245.7,3266,80796.9,5341.0,6524
Комсомольск-на-Амуре,2019,244.8,62.3,1156,51590.3,23.8,15.5,41.7,99.7,314,8.4,59.8,4270,12575.0,890.3,23.3,203,15287.5,424.7,-627
Комсомольск-на-Амуре,2020,241.1,61.8,3555,55080.9,24.2,15.5,42.5,93.5,339.6,16.3,61.7,3934,153999.8,991.9,11.5,123,24122.5,369.9,-1756
Комсомольск-на-Амуре,2021,239.4,60.1,830,60361.6,24.6,15.7,41.6,99.3,342.8,31.2,60.8,3710,223736.0,4043.4,27.8,273,22307.6,466.2,609
Благовещенск,2019,231.6,61.2,1677,50675.5,25.9,13.2,115.7,190.2,339.2,23.4,51.3,9064,52379.299999999996,4871.1,84.6,1548,33510.7,414.1,589
Благовещенск,2020,231,62.6,3074,54657.3,26.1,13.1,117.2,202.6,335.3,36.9,50.9,8783,43607.5,5881.2,58.1,985,34404.8,230.5,83
Благовещенск,2021,230.1,63,1228,61391.1,26.3,13.4,121.9,215.4,747.4,32.7,52.3,8541,58943.399999999994,20029.8,44.2,647,44887.6,831,443
Магадан,2019,92.1,29.7,448,97597.8,25.2,5.6,74.8,133.2,376.2,35.4,39.4,3077,9672.8,732.2,2.9,47,5099.6,534.6,344
Магадан,2020,91.8,29.5,1090,105187.0,25.3,5.7,75.9,132.7,376.5,45.1,41.7,3000,10137.800000000001,1044.1,4,30,5688.8,661.2,-118
Магадан,2021,91.4,30.2,565,114011.7,25.4,5.7,76.6,128,360.4,57.1,41,2786,10361.2,2166.1,10.4,177,7859.1,1148.6,-84
Южно-Сахалинск,2019,200.6,77.6,165,107140.2,24.4,11.8,95.4,161.2,270.3,30.1,59.4,9740,84045.6,28267.7,196.3,2450,20862.1,2178.1,-1034
Южно-Сахалинск,2020,200.2,77.4,534,114007,26.4,11.7,97.5,155.8,269.6,25.9,64.1,9059,79716.9,24425.2,257.9,3273,25374.7,2238.2,-1049
Южно-Сахалинск,2021,201.7,76.5,196,115191.8,27.4,13.1,98.1,158.1,274.8,21,66.3,8526,65060.6,24802.8,290.3,3711,27829.2,2427.7,1279
Биробиджан,2019,71.8,18.8,362,45503.8,23.8,4.9,62.5,149.9,332.5,33.3,32.1,1665,5074.400000000001,18.3,9.3,85,7242.6,59.8,-1155
Биробиджан,2020,70.4,19.6,1158,48779.8,24.9,4.9,62.9,160.4,343.3,39.8,37.4,1544,5477.1,9.7,5,55,11069.9,169.1,-987
Биробиджан,2021,68.9,19.2,425,51976.3,25.4,4.7,58.6,175.1,335.2,18.2,39.8,1461,5665.7,10.6,12.4,142,11586.4,214.8,-932
Ростов-на-Дону,2017,1130.3,281.0,2612,40607.3,26.9,37.5,74.1,110.5,295.9,51.3,47.9,45408,316612.19999999995,94970.0,1118.5,17037,119620.6,5229.5,4975
Ростов-на-Дону,2018,1133.3,281.1,2458,44320.4,27.7,37.0,74.1,108.2,301.1,35.6,46.9,45458,332602.4,84060.9,1127.1,18337,137531.4,3849.4,3614
Батайск,2017,126.7,19.1,447,30610.2,21.3,5.9,34.7,58.8,246.8,16.7,53.1,2143,4054.1,5425.4,130.1,2200,7700.3,71.4,1737
Батайск,2018,127.6,20.1,412,33010.7,22.3,5.8,32.3,58.4,238.0,56.7,65.4,2103,4140.1,3669.2,141.4,2172,8796.8,65.4,653
Волгодонск,2017,171.7,37.5,586,35242.6,23.6,8.9,35.8,59.8,252.0,1.6,29.1,3017,74890.59999999999,15703.2,80.0,842,10258.4,111.6,373
Волгодонск,2018,172.0,36.9,577,38175.8,24.0,9.0,35.2,64.1,252.3,2.0,23.9,2973,96041.99999999999,10465.3,73.1,758,11665.0,104.6,504
Новочеркасск,2017,168.0,36.0,326,29517.9,23.6,7.6,36.1,109.9,281.9,12.2,24.5,3895,62698.4,1904.4,109.5,921,10544.2,253.6,-71
Новочеркасск,2018,167.4,37.5,340,33136.2,24.4,7.3,35.6,105.8,278.5,33.4,30.1,3788,98965.6,1658.5,109.5,749,11622.8,291.4,78
Новошахтинск,2017,108.4,12.4,345,21613.9,20.6,3.5,18.3,72.1,255.9,13.4,31.6,634,5122.8,707.7,15.8,212,3618.2,32.3,261
Новошахтинск,2018,107.6,11.7,345,23093.4,20.8,3.5,18.0,70.8,245.6,15.8,40.4,610,5231.299999999999,1084.3,13.2,156,4097.4,30.1,-154
Таганрог,2017,249.9,58.4,1242,30784.5,27.0,11.1,39.2,83.0,377.1,15.4,45.1,6644,75379.09999999999,4396.8,133.8,1945,17007.0,248.7,679
Таганрог,2018,248.7,57.4,1175,33728.8,27.5,11.1,40.3,83.1,374.6,23.1,50.4,6231,83237.5,4136.1,140.2,2202,18453.0,234.3,472
