0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,risk
0.05313,0.0778,0.0699,0.0591,0.06046,0.03317,0.04346,0.05997,0.0715,0.07367,0.1399,0.0912,0.10394,0.0628,0.04684,0.0611,0.06192,0.05148,0.051,0.01924,0.04022,0.06934,0.0749,0.0798,0.1525,0.1039,0.1106,0.07733,0.0
0.05292,0.07654,0.0762,0.05835,0.06052,0.03867,0.03952,0.05746,0.0724,0.0763,0.1315,0.07983,0.1122,0.0677,0.04745,0.06207,0.0627,0.05228,0.053,0.02548,0.03284,0.0653,0.0775,0.08246,0.1417,0.0922,0.1187,0.0862,0.0
0.07574,0.0598,0.05853,0.04572,0.04102,0.06226,0.07007,0.0675,0.0658,0.07166,0.1797,0.09625,0.0706,0.0352,0.07367,0.05844,0.05576,0.04224,0.03336,0.05014,0.06433,0.07263,0.0631,0.0693,0.1852,0.1046,0.0821,0.0452,0.0
0.0737,0.06238,0.05923,0.04474,0.04,0.05908,0.06824,0.0634,0.0693,0.0661,0.1775,0.102,0.071,0.0433,0.0757,0.0577,0.0576,0.04315,0.02985,0.046,0.0628,0.0702,0.0676,0.06226,0.1831,0.1075,0.08307,0.05362,0.0
0.07,0.07086,0.06042,0.05524,0.047,0.04294,0.0645,0.06793,0.06635,0.06476,0.1566,0.0957,0.08386,0.0538,0.0632,0.0717,0.05597,0.05063,0.03876,0.02835,0.05322,0.06525,0.0737,0.06476,0.1646,0.1038,0.0956,0.07043,0.0
0.06464,0.07544,0.0601,0.06274,0.043,0.04327,0.0614,0.06976,0.0659,0.06494,0.1494,0.09326,0.08466,0.0614,0.05927,0.07434,0.05942,0.0544,0.04202,0.02432,0.04776,0.0643,0.07477,0.06604,0.1558,0.0976,0.1032,0.07684,0.0
0.0625,0.075,0.0636,0.06464,0.0434,0.04248,0.0571,0.07007,0.06476,0.0714,0.1416,0.0869,0.0928,0.0637,0.053,0.078,0.06104,0.0527,0.0462,0.02408,0.04242,0.0647,0.0735,0.0721,0.1503,0.0925,0.10846,0.08105,0.0
0.0773,0.0639,0.05676,0.0531,0.04175,0.06125,0.0812,0.07104,0.06064,0.05493,0.1715,0.10016,0.0736,0.03278,0.0667,0.05743,0.05154,0.04694,0.03217,0.0617,0.0722,0.07,0.058,0.05658,0.1891,0.10956,0.0833,0.0447,0.0
0.0765,0.06726,0.058,0.0492,0.03915,0.0618,0.07666,0.0697,0.06506,0.05176,0.1648,0.10364,0.07556,0.0409,0.06604,0.0595,0.05365,0.0472,0.02995,0.0569,0.0706,0.07074,0.06128,0.05328,0.1774,0.1079,0.08966,0.05582,0.0113544201135442
0.0748,0.0733,0.05646,0.0459,0.03995,0.0628,0.0724,0.0729,0.068,0.05072,0.156,0.10126,0.0767,0.04886,0.06555,0.06238,0.052,0.04602,0.03085,0.05103,0.069,0.0706,0.06238,0.05524,0.1666,0.10736,0.0949,0.0661,0.0
