oktmo,name,year,inflow
1609466,Титовский сельсовет,2020,20.0
1609490,Шубинский сельсовет,2020,11.0
1610000,Ельцовский муниципальный район,2020,242.0
1610411,Верх-Ненинский сельсовет,2020,10.0
1610422,Ельцовский сельсовет,2020,145.0
1610433,Мартыновский сельсовет,2020,34.0
1610444,Новокаменский сельсовет,2020,5.0
1610466,Пуштулимский сельсовет,2020,29.0
1610488,Черемшанский сельсовет,2020,19.0
1611000,Завьяловский муниципальный район,2020,449.0
1611411,Гилёвский сельсовет,2020,32.0
1611416,Глубоковский сельсовет,2020,25.0
1611423,Гоноховский сельсовет,2020,40.0
1611434,Завьяловский сельсовет,2020,188.0
1611445,Камышенский сельсовет,2020,26.0
1611456,Малиновский сельсовет,2020,17.0
1611467,Овечкинский сельсовет,2020,33.0
1611469,Светловский сельсовет,2020,14.0
1611470,Тумановский сельсовет,2020,14.0
1611478,Харитоновский сельсовет,2020,20.0
1611486,Чернавский сельсовет,2020,10.0
1611489,Чистоозёрский сельсовет,2020,30.0
1612000,Залесовский муниципальный район,2020,373.0
1612409,Большекалтайский сельсовет,2020,9.0
1612412,Борисовский сельсовет,2020,13.0
1612422,Думчевский сельсовет,2020,10.0
1612426,Залесовский сельсовет,2020,225.0
1612437,Кордонский сельсовет,2020,9.0
1612459,Пещерский сельсовет,2020,53.0
1612470,Тундрихинский сельсовет,2020,19.0
1612481,Черёмушкинский сельсовет,2020,19.0
1612492,Шатуновский сельсовет,2020,16.0
1613000,Заринский муниципальный район,2020,324.0
1613406,Аламбайский сельсовет,2020,7.0
1613420,Верх-Камышенский сельсовет,2020,11.0
1613425,Воскресенский сельсовет,2020,5.0
1613428,Голухинский сельсовет,2020,24.0
1613430,Гоношихинский сельсовет,2020,31.0
1613434,Гришинский сельсовет,2020,6.0
1613436,Жуланихинский сельсовет,2020,21.0
1613438,Зыряновский сельсовет,2020,6.0
1613450,Комарский сельсовет,2020,11.0
1613460,Новодраченинский сельсовет,2020,27.0
1613461,Новозыряновский сельсовет,2020,12.0
1613464,Новокопыловский сельсовет,2020,19.0
1613468,Новомоношкинский сельсовет,2020,29.0
1613474,Смазневский сельсовет,2020,21.0
1613478,Сосновский сельсовет,2020,7.0
1613487,Стародраченинский сельсовет,2020,13.0
1613488,Тягунский сельсовет,2020,28.0
1613492,Хмелевский сельсовет,2020,18.0
1613494,Шпагинский сельсовет,2020,20.0
1613496,Яновский сельсовет,2020,8.0
1614000,Змеиногорский муниципальный район,2020,603.0
1614101,город Змеиногорск,2020,436.0
1614422,Барановский сельсовет,2020,33.0
1614433,Карамышевский сельсовет,2020,33.0
1614444,Кузьминский сельсовет,2020,21.0
1614455,Октябрьский сельсовет,2020,19.0
1614466,Саввушинский сельсовет,2020,17.0
1614477,Таловский сельсовет,2020,16.0
1614488,Черепановский сельсовет,2020,28.0
1615000,Калманский муниципальный район,2020,479.0
1615409,Бурановский сельсовет,2020,18.0
1615414,Зимарёвский сельсовет,2020,48.0
1615425,Калистратихинский сельсовет,2020,32.0
1615427,Калманский сельсовет,2020,120.0
1615435,Кубанский сельсовет,2020,51.0
1615450,Шиловский сельсовет,2020,29.0
1615457,Новоромановский сельсовет,2020,118.0
1615468,Обской сельсовет,2020,31.0
1615480,Усть-Алейский сельсовет,2020,13.0
1615485,Шадринский сельсовет,2020,19.0
1616000,Каменский муниципальный район,2020,1378.0
1616101,г Камень-на-Оби,2020,1103.0
1616404,Аллакский сельсовет,2020,13.0
1616413,Верх-Аллакский сельсовет,2020,10.0
1616417,Гоноховский сельсовет,2020,29.0
1616437,Корниловский сельсовет,2020,20.0
1616461,Новоярковский сельсовет,2020,29.0
1616468,Плотниковский сельсовет,2020,36.0
1616473,Попереченский сельсовет,2020,38.0
1616475,Пригородный сельсовет,2020,22.0
1616482,Рыбинский сельсовет,2020,16.0
1616486,Столбовский сельсовет,2020,22.0
1616490,Телеутский сельсовет,2020,9.0
1616494,Толстовский сельсовет,2020,23.0
1616497,Филипповский сельсовет,2020,8.0
1617000,Ключевский муниципальный район,2020,465.0
1617406,Васильчуковский сельсовет,2020,22.0
1617412,Зелёнополянский сельсовет,2020,14.0
1617415,Истимисский сельсовет,2020,17.0
1617420,Каипский сельсовет,2020,12.0
1617424,Ключевский сельсовет,2020,256.0
1617435,Новополтавский сельсовет,2020,18.0
1617437,Новоцелинный сельсовет,2020,42.0
1617446,Петуховский сельсовет,2020,12.0
1617468,Покровский сельсовет,2020,21.0
1617479,Северский сельсовет,2020,51.0
1618000,Косихинский муниципальный район,2020,368.0
1618406,Баюновский сельсовет,2020,40.0
1618414,Верх-Жилинский сельсовет,2020,19.0
1618420,Глушинский сельсовет,2020,12.0
1618425,Каркавинский сельсовет,2020,15.0
1618430,Контошинский сельсовет,2020,23.0
1618434,Косихинский сельсовет,2020,115.0
1618440,Лосихинский сельсовет,2020,16.0
1618449,Малаховский сельсовет,2020,18.0
1618460,Налобихинский сельсовет,2020,84.0
1618466,Плотниковский сельсовет,2020,7.0
1618468,Полковниковский сельсовет,2020,19.0
1619000,Красногорский муниципальный район,2020,428.0
1619405,Берёзовский сельсовет,2020,41.0
1619407,Быстрянский сельсовет,2020,79.0
1619423,Красногорский сельсовет,2020,175.0
1619445,Новозыковский сельсовет,2020,12.0
1619447,Новоталовский сельсовет,2020,9.0
1619456,Соусканихинский сельсовет,2020,18.0
1619478,Усть-Ишинский сельсовет,2020,56.0
1619489,Усть-Кажинский сельсовет,2020,38.0
1620000,Краснощёковский муниципальный район,2020,270.0
1620406,Акимовский сельсовет,2020,6.0
1620412,Берёзовский сельсовет,2020,16.0
1620417,Верх-Камышенский сельсовет,2020,6.0
1620424,Карповский сельсовет,2020,16.0
1620430,Краснощёковский сельсовет,2020,122.0
1620442,Маралихинский сельсовет,2020,32.0
1620448,Новошипуновский сельсовет,2020,17.0
1620459,Суетский сельсовет,2020,10.0
1620468,Усть-Беловский сельсовет,2020,6.0
1620470,Усть-Козлухинский сельсовет,2020,19.0
1620472,Усть-Пустынский сельсовет,2020,4.0
1620481,Харловский сельсовет,2020,11.0
1620492,Чинетинский сельсовет,2020,5.0
1621000,Крутихинский муниципальный район,2020,301.0
1621406,Боровской сельсовет,2020,24.0
1621412,Волчно-Бурлинский сельсовет,2020,15.0
1621418,Долганский сельсовет,2020,34.0
1621424,Заковряшинский сельсовет,2020,12.0
1621430,Крутихинский сельсовет,2020,129.0
1621436,Маловолчанский сельсовет,2020,24.0
1621442,Новодубровский сельсовет,2020,24.0
1621446,Подборный сельсовет,2020,16.0
1621448,Прыганский сельсовет,2020,23.0
1622000,Кулундинский муниципальный район,2020,963.0
1622411,Ананьевский сельсовет,2020,29.0
1622433,Воздвиженский сельсовет,2020,13.0
1622444,Златополинский сельсовет,2020,11.0
1622455,Константиновский сельсовет,2020,27.0
1622460,Кулундинский сельсовет,2020,734.0
1622466,Курский сельсовет,2020,47.0
1622472,Мирабилитский сельсовет,2020,8.0
1622477,Октябрьский сельсовет,2020,66.0
1622488,Семёновский сельсовет,2020,28.0
1623000,Курьинский муниципальный район,2020,266.0
1623411,Бугрышихинский сельсовет,2020,2.0
1623422,Ивановский сельсовет,2020,19.0
1623433,Казанцевский сельсовет,2020,8.0
1623438,Колыванский сельсовет,2020,44.0
