oktmo,name,regional,national,international,overall
41612458,Новодевяткинское,0.022222222222222223,0.5349970291146762,0.07641117052881759,0.633630421865716
41615000,Выборгский муниципальный район,0.27607948032097823,0.2741688956820787,0.12113106610622851,0.6713794421092855
41615101,Выборгское,0.15352573638797976,0.46771794108896164,0.06575423980958048,0.6869979172865219
41615104,Высоцкое,0.13846153846153847,0.5384615384615384,0.07692307692307693,0.7538461538461538
41615106,Каменногорское,0.23346303501945526,0.45525291828793774,0.05252918287937743,0.7412451361867705
41615108,Приморское,0.25833333333333336,0.37166666666666665,0.12666666666666668,0.7566666666666667
41615114,Светогорское,0.20704225352112676,0.43802816901408453,0.08028169014084507,0.7253521126760564
41615158,Рощинское,0.0747800586510264,0.30718475073313783,0.17375366568914957,0.5557184750733137
41615163,Советское,0.24761904761904763,0.4095238095238095,0.05952380952380952,0.7166666666666667
41615436,Красносельское,0.21282798833819241,0.37900874635568516,0.12244897959183673,0.7142857142857143
41615460,Первомайское,0.05530832803560076,0.46026700572155116,0.16465352828989194,0.6802288620470438
41615464,Полянское,0.09861932938856016,0.5982905982905983,0.10585141354372124,0.8027613412228796
41615476,Селезнёвское,0.2163265306122449,0.5591836734693878,0.061224489795918366,0.8367346938775511
41615492,Гончаровское,0.1925343811394892,0.3418467583497053,0.17681728880157171,0.7111984282907662
41618000,Гатчинский муниципальный район,0.10502977321677436,0.37672621310021537,0.23514506524768783,0.7169010515646775
41618101,Гатчинское,0.08664527277215503,0.4339669217477166,0.31424339669217477,0.8348555912120463
41618105,Коммунарское,0.061816452686638136,0.4579172610556348,0.14978601997146934,0.6695197337137423
41618154,Вырицкое,0.10651340996168582,0.38620689655172413,0.1578544061302682,0.650574712643678
41618156,Дружногорское,0.2261072261072261,0.29603729603729606,0.19114219114219114,0.7132867132867133
41618169,Сиверское,0.19944405837387075,0.3745656706045865,0.19735927727588604,0.7713690062543432
41618176,Таицкое,0.12002840909090909,0.3828125,0.17329545454545456,0.6761363636363636
41618404,Пудомягское,0.15400624349635797,0.449531737773153,0.15816857440166493,0.761706555671176
41618408,Большеколпанское,0.20048019207683074,0.39135654261704683,0.09843937575030012,0.6902761104441777
41618416,Веревское,0.14560439560439561,0.24725274725274726,0.22527472527472528,0.6181318681318682
41618418,Войсковицкое,0.11477411477411477,0.409035409035409,0.16117216117216118,0.684981684981685
41618424,Елизаветинское,0.1237785016286645,0.30456026058631924,0.23778501628664495,0.6661237785016287
41618426,Кобринское,0.16493055555555555,0.24305555555555555,0.2361111111111111,0.6440972222222222
41618444,Новосветское,0.11194029850746269,0.39054726368159204,0.23756218905472637,0.7400497512437811
