oktmo,name,regional,national,international
41621000,Кингисеппский муниципальный район,0.11643443405230006,0.2021378125596488,0.6814277533880512
41621101,Кингисеппское,0.2552552552552553,0.46846846846846846,0.27627627627627627
41621102,Ивангородское,0.0388283378746594,0.13419618528610355,0.8269754768392371
41621404,Большелуцкое,0.006746237675142709,0.034250129735339904,0.9590036325895174
41621412,Фалилеевское,0.23333333333333334,0.4666666666666667,0.3
41621420,Котельское,0.2558139534883721,0.5697674418604651,0.1744186046511628
41621428,Усть-Лужское,0.24812030075187969,0.6165413533834586,0.13533834586466165
41621432,Кузёмкинское,0.3402061855670103,0.4329896907216495,0.2268041237113402
41621440,Нежновское,0.23076923076923078,0.5384615384615384,0.23076923076923078
41621444,Опольевское,0.23618090452261306,0.5226130653266332,0.24120603015075376
41621448,Пустомержское,0.15763546798029557,0.3793103448275862,0.4630541871921182
41621452,Вистинское,0.18604651162790697,0.38372093023255816,0.43023255813953487
41624000,Киришский муниципальный район,0.17651854871585812,0.31104769669792093,0.512433754586221
41624101,Киришское,0.08304696449026346,0.2411225658648339,0.6758304696449027
41624152,Будогощское,0.48621553884711777,0.3659147869674185,0.14786967418546365
41624412,Глажевское,0.36585365853658536,0.27439024390243905,0.3597560975609756
41624423,Кусинское,0.2463768115942029,0.4927536231884058,0.2608695652173913
41624427,Пчевжинское,0.3333333333333333,0.2898550724637681,0.37681159420289856
41624428,Пчевское,0.24175824175824176,0.5054945054945055,0.25274725274725274
41625000,Кировский муниципальный район,0.07737226277372262,0.5303441084462982,0.39228362877997913
41625101,Кировское,0.2984144960362401,0.4405436013590034,0.2610419026047565
41625102,Шлиссельбургское,0.2230320699708455,0.3556851311953353,0.42128279883381925
41625104,Отрадненское,0.060240963855421686,0.42168674698795183,0.5180722891566265
41625154,Мгинское,0.27768595041322314,0.5322314049586777,0.19008264462809918
41625156,Назиевское,0.3485915492957746,0.31690140845070425,0.3345070422535211
41625158,Павловское,0.24274406332453827,0.38786279683377306,0.36939313984168864
41625160,Приладожское,0.49034749034749037,0.3783783783783784,0.13127413127413126
41625163,Синявинское,0.10259301014656144,0.17361894024802707,0.7237880496054115
41625440,Путиловское,0.4233128834355828,0.3803680981595092,0.19631901840490798
41625445,Суховское,0.38461538461538464,0.34615384615384615,0.2692307692307692
41625450,Шумское,0.40119760479041916,0.38323353293413176,0.2155688622754491
41627000,Лодейнопольский муниципальный район,0.2814122533748702,0.5046728971962616,0.21391484942886813
41627101,Лодейнопольское,0.14396887159533073,0.708171206225681,0.14785992217898833
41627154,Свирьстройское,0.6060606060606061,0.3333333333333333,0.06060606060606061
41627404,Алёховщинское,0.37623762376237624,0.3564356435643564,0.26732673267326734
41627410,Доможировское,0.38235294117647056,0.3088235294117647,0.3088235294117647
41627420,Янегское,0.2727272727272727,0.4577922077922078,0.2694805194805195
41630000,Ломоносовский муниципальный район,0.07990247300592128,0.7967955416231278,0.12330198537095088
41630152,Аннинское,0.10645339216767788,0.7796469939327082,0.1138996138996139
41630154,Большеижорское,0.20652173913043478,0.5652173913043478,0.22826086956521738
41630157,Виллозское,0.0975609756097561,0.7914634146341464,0.11097560975609756
41630162,Лебяженское,0.3389355742296919,0.5574229691876751,0.10364145658263306
41630404,Аннинское,0.10313216195569137,0.7944996180290298,0.10236822001527884
41630408,Низинское,0.05754614549402823,0.8208469055374593,0.12160694896851248
41630412,Пениковское,0.07839388145315487,0.7954110898661568,0.12619502868068833
41630416,Виллозское,0.05388471177944862,0.8370927318295739,0.10902255639097744
41630420,Гостилицкое,0.07180156657963446,0.8511749347258486,0.07702349869451697
