oktmo,name,year,saldo
1622455,Константиновский сельсовет,2013,-9.0
1622460,Кулундинский сельсовет,2013,79.0
1622466,Курский сельсовет,2013,-34.0
1622472,Мирабилитский сельсовет,2013,-17.0
1622477,Октябрьский сельсовет,2013,-46.0
1622488,Семёновский сельсовет,2013,-19.0
1623000,Курьинский муниципальный район,2013,-142.0
1623411,Бугрышихинский сельсовет,2013,3.0
1623422,Ивановский сельсовет,2013,-9.0
1623433,Казанцевский сельсовет,2013,-14.0
1623438,Колыванский сельсовет,2013,-34.0
1623444,Краснознаменский сельсовет,2013,-15.0
1623455,Кузнецовский сельсовет,2013,-21.0
1623466,Курьинский сельсовет,2013,-39.0
1623468,Новофирсовский сельсовет,2013,-3.0
1623477,Трусовский сельсовет,2013,-9.0
1623488,Усть-Таловский сельсовет,2013,-1.0
1624000,Кытмановский муниципальный район,2013,-152.0
1624407,Дмитро-Титовский сельсовет,2013,-53.0
1624423,Кытмановский сельсовет,2013,-97.0
1624434,Червовский сельсовет,2013,-8.0
1624446,Новотарабинский сельсовет,2013,-3.0
1624457,Октябрьский сельсовет,2013,-4.0
1624469,Порошинский сельсовет,2013,12.0
1624480,Семено-Красиловский сельсовет,2013,-6.0
1624491,Сунгайский сельсовет,2013,-7.0
1624493,Тягунский сельсовет,2013,30.0
1624494,Тяхтинский сельсовет,2013,-16.0
1625000,Локтевский муниципальный район,2013,-342.0
1625101,город Горняк,2013,-33.0
1625404,Александровский сельсовет,2013,-11.0
1625409,Второкаменский сельсовет,2013,-18.0
1625413,Георгиевский сельсовет,2013,-32.0
1625417,Гилёвский сельсовет,2013,-50.0
1625419,Ермошихинский сельсовет,2013,-8.0
1625421,Золотухинский сельсовет,2013,-46.0
1625426,Кировский сельсовет,2013,11.0
1625434,Локтевский сельсовет,2013,-30.0
1625440,Масальский сельсовет,2013,-6.0
1625449,Николаевский сельсовет,2013,-29.0
1625456,Новенский сельсовет,2013,-26.0
1625459,Новомихайловский сельсовет,2013,-27.0
1625466,Покровский сельсовет,2013,2.0
1625473,Ремовский сельсовет,2013,21.0
1625476,Самарский сельсовет,2013,-12.0
1625484,Успенский сельсовет,2013,-6.0
1625495,Устьянский сельсовет,2013,-42.0
1626000,Мамонтовский муниципальный район,2013,-12.0
1626406,Буканский сельсовет,2013,-1.0
1626412,Гришенский сельсовет,2013,0.0
1626417,Ермачихинский сельсовет,2013,-5.0
1626424,Кадниковский сельсовет,2013,-20.0
1626429,Комсомольский сельсовет,2013,-7.0
1626434,Корчинский сельсовет,2013,-27.0
1626437,Костино-Логовской сельсовет,2013,-40.0
1626442,Крестьянский сельсовет,2013,4.0
1626449,Мамонтовский сельсовет,2013,95.0
1626460,Островновский сельсовет,2013,-8.0
1626468,Покровский сельсовет,2013,26.0
1626473,Сусловский сельсовет,2013,-17.0
1626478,Тимирязевский сельсовет,2013,-12.0
1626492,Чернокурьинский сельсовет,2013,0.0
1627000,Михайловский муниципальный район,2013,-113.0
1627154,Малиновоозёрский поссовет,2013,-50.0
1627405,Ащегульский сельсовет,2013,-17.0
1627411,Бастанский сельсовет,2013,-28.0
1627416,Михайловский сельсовет,2013,33.0
1627420,Назаровский сельсовет,2013,-9.0
1627422,Николаевский сельсовет,2013,-13.0
1627433,Полуямский сельсовет,2013,-22.0
1627444,Ракитовский сельсовет,2013,-7.0
1628000,Новичихинский муниципальный район,2013,-57.0
1628411,Долговский сельсовет,2013,-26.0
1628422,Лобанихинский сельсовет,2013,10.0
1628433,Мельниковский сельсовет,2013,-23.0
1628444,Новичихинский сельсовет,2013,10.0
1628455,Поломошенский сельсовет,2013,-10.0
1628466,Солоновский сельсовет,2013,-17.0
1628477,Токарёвский сельсовет,2013,-1.0
1629000,Зональный муниципальный район,2013,110.0
1629412,Буланихинский сельсовет,2013,1.0
1629426,Зональный сельсовет,2013,21.0
1629442,Луговской сельсовет,2013,32.0
1629466,Новочемровский сельсовет,2013,59.0
1629470,Октябрьский сельсовет,2013,7.0
1629474,Плешковский сельсовет,2013,10.0
1629480,Соколовский сельсовет,2013,-10.0
1629493,Чемровский сельсовет,2013,-11.0
1629496,Шубенский сельсовет,2013,1.0
1630000,Павловский муниципальный район,2013,75.0
1630401,Арбузовский сельсовет,2013,4.0
1630403,Бурановский сельсовет,2013,-15.0
1630412,Елунинский сельсовет,2013,-28.0
1630432,Колыванский сельсовет,2013,-17.0
1630437,Комсомольский сельсовет,2013,27.0
1630449,Лебяжинский сельсовет,2013,-11.0
1630455,Новозоринский сельсовет,2013,20.0
1630460,Павловский сельсовет,2013,-42.0
1630462,Павлозаводской сельсовет,2013,-2.0
1630464,Прутской сельсовет,2013,7.0
1630466,Рогозихинский сельсовет,2013,8.0
1630473,Стуковский сельсовет,2013,-6.0
1630482,Черемновский сельсовет,2013,84.0
1630485,Чернопятовский сельсовет,2013,4.0
1630490,Шаховский сельсовет,2013,42.0
1631000,Панкрушихинский муниципальный район,2013,-57.0
1631411,Велижанский сельсовет,2013,-6.0
1631417,Железнодорожный сельсовет,2013,-5.0
1631422,Зятьковский сельсовет,2013,-20.0
1631433,Кривинский сельсовет,2013,-18.0
1631444,Луковский сельсовет,2013,-32.0
1631456,Панкрушихинский сельсовет,2013,49.0
1631467,Подойниковский сельсовет,2013,-12.0
1631478,Романовский сельсовет,2013,-6.0
1631489,Урываевский сельсовет,2013,-7.0
1632000,Первомайский муниципальный район,2013,781.0
1632406,Акуловский сельсовет,2013,36.0
1632412,Баюновоключевский сельсовет,2013,5.0
1632416,Берёзовский сельсовет,2013,153.0
1632420,Бобровский сельсовет,2013,131.0
1632422,Боровихинский сельсовет,2013,81.0
1632425,Жилинский сельсовет,2013,-20.0
1632430,Журавлихинский сельсовет,2013,23.0
1632434,Зудиловский сельсовет,2013,129.0
1632442,Логовской сельсовет,2013,-4.0
1632445,Новоберёзовский сельсовет,2013,-12.0
1632449,Первомайский сельсовет,2013,27.0
1632454,Повалихинский сельсовет,2013,64.0
1632461,Рассказихинский сельсовет,2013,24.0
1632472,Санниковский сельсовет,2013,187.0
1632483,Северный сельсовет,2013,-30.0
1632494,Сибирский сельсовет,2013,-36.0
1632496,Солнечный сельсовет,2013,30.0
1632497,Сорочелоговской сельсовет,2013,-7.0
1633000,Петропавловский муниципальный район,2013,-95.0
1633405,Алексеевский сельсовет,2013,2.0
1633407,Антоньевский сельсовет,2013,-2.0
1633414,Зеленодольский сельсовет,2013,-18.0
1633423,Камышенский сельсовет,2013,-6.0
1633434,Николаевский сельсовет,2013,-16.0
1633440,Новообинский сельсовет,2013,-4.0
1633446,Паутовский сельсовет,2013,2.0
1633457,Петропавловский сельсовет,2013,5.0
1633479,Соловьихинский сельсовет,2013,-58.0
1634000,Поспелихинский муниципальный район,2013,-284.0
1634408,Борковский сельсовет,2013,17.0
1634422,12 лет Октября сельсовет,2013,-23.0
1634433,Калмыцко-Мысовской сельсовет,2013,-23.0
1634439,Клепечихинский сельсовет,2013,-25.0
1634445,Красноалтайский сельсовет,2013,3.0
1634450,Красноярский сельсовет,2013,-40.0
1634467,Мамонтовский сельсовет,2013,3.0
1634478,Николаевский сельсовет,2013,-37.0
1634482,Озимовский сельсовет,2013,-16.0
1634489,Поспелихинский сельсовет,2013,-10.0
1634495,Поспелихинский Центральный сельсовет,2013,-133.0
1635000,Ребрихинский муниципальный район,2013,-274.0
1635407,Беловский сельсовет,2013,-37.0
1635412,Боровлянский сельсовет,2013,-9.0
1635419,Воронихинский сельсовет,2013,-4.0
1635424,Георгиевский сельсовет.,2013,-22.0
1635430,Зеленорощинский сельсовет,2013,-33.0
1635436,Зиминский сельсовет,2013,-11.0
1635442,Клочковский сельсовет,2013,-13.0
1635448,Куликовский сельсовет,2013,-14.0
1635456,Пановский сельсовет,2013,-28.0
1635458,Плоскосеминский сельсовет,2013,-10.0
1635459,Подстепновский сельсовет,2013,-3.0
1635464,Ребрихинский сельсовет,2013,-63.0
1635470,Рожне-Логовской сельсовет,2013,-12.0
1635476,Станционно-Ребрихинский сельсовет,2013,63.0
1635479,Усть-Мосихинский сельсовет,2013,-43.0
1635484,Шумилихинский сельсовет,2013,-16.0
1635495,Яснополянский сельсовет,2013,-19.0
1636000,Родинский муниципальный район,2013,-153.0
1636410,Зелёнолуговской сельсовет,2013,-7.0
1636422,Каяушинский сельсовет,2013,-37.0
1636428,Кочкинский сельсовет,2013,7.0
1636434,Мирненский сельсовет,2013,-21.0
1636445,Покровский сельсовет,2013,-16.0
1636451,Раздольненский сельсовет,2013,-31.0
1636456,Родинский сельсовет,2013,54.0
1636468,Степновский сельсовет,2013,-18.0
1636472,Степно-Кучукский сельсовет,2013,-29.0
1636474,Шаталовский сельсовет,2013,0.0
1636480,Центральный сельсовет,2013,-33.0
1636491,Ярослав-Логовской сельсовет,2013,-22.0
1637000,Романовский муниципальный район,2013,-151.0
1637407,Гилёв-Логовской сельсовет,2013,-8.0
1637412,Грано-Маяковский сельсовет,2013,-6.0
1637417,Гуселетовский сельсовет,2013,-3.0
1637422,Дубровинский сельсовет,2013,-2.0
1637435,Закладинский сельсовет,2013,-21.0
1637440,Казанцевский сельсовет,2013,-3.0
1637446,Майский сельсовет,2013,-14.0
1637457,Мормышанский сельсовет,2013,-6.0
1637466,Рассветовский сельсовет,2013,-11.0
1637468,Романовский сельсовет,2013,-48.0
1637479,Сидоровский сельсовет,2013,-5.0
1637482,Тамбовский сельсовет,2013,-24.0
1638000,Рубцовский муниципальный район,2013,-280.0
1638406,Безрукавский сельсовет,2013,-56.0
1638412,Бобковский сельсовет,2013,-13.0
1638415,Большешелковниковский сельсовет,2013,5.0
1638418,Веселоярский сельсовет,2013,39.0
1638420,Вишнёвский сельсовет,2013,-8.0
1638422,Дальний сельсовет,2013,-34.0
1638425,Куйбышевский сельсовет,2013,-21.0
1638437,Новоалександровский сельсовет,2013,-10.0
1638440,Новониколаевский сельсовет,2013,-29.0
1638444,Новороссийский сельсовет,2013,-5.0
1638447,Новосклюихинский сельсовет,2013,-27.0
1638451,Половинкинский сельсовет,2013,-16.0
1638460,Ракитовский сельсовет,2013,-26.0
1638462,Рубцовский сельсовет,2013,-22.0
1638465,Самарский сельсовет,2013,-13.0
1638467,Саратовский сельсовет,2013,-46.0
1638471,Тишинский сельсовет,2013,2.0
1640000,Смоленский муниципальный район,2013,-179.0
1640405,Ануйский сельсовет,2013,7.0
1640412,Верх-Обский сельсовет,2013,34.0
1640423,Кировский сельсовет,2013,-35.0
1640434,Линёвский сельсовет,2013,-6.0
1640445,Новотырышкинский сельсовет,2013,-15.0
1640456,Смоленский сельсовет,2013,-130.0
1640460,Солоновский сельсовет,2013,-11.0
1640466,Сычёвский сельсовет,2013,-16.0
1640479,Точилинский сельсовет,2013,-7.0
1641000,Суетский муниципальный район,2013,-91.0
1641404,Александровский сельсовет,2013,-3.0
1641410,Боронский сельсовет,2013,-27.0
1641413,Верх-Суетский сельсовет,2013,-37.0
1641420,Ильичёвский сельсовет,2013,-7.0
1641425,Нижнесуетский сельсовет,2013,-17.0
1642000,Советский муниципальный район,2013,18.0
1642411,Кокшинский сельсовет,2013,57.0
1642415,Коловский сельсовет,2013,-14.0
1642420,Красноярский сельсовет,2013,2.0
1642429,Никольский сельсовет,2013,5.0
1642435,Платовский сельсовет,2013,-6.0
1642440,Половинский сельсовет,2013,-13.0
1642447,Сетовский сельсовет,2013,14.0
1642452,Советский сельсовет,2013,-34.0
1642457,Талицкий сельсовет,2013,-9.0
1642466,Урожайный сельсовет,2013,17.0
1642471,Шульгин-Логский сельсовет,2013,-12.0
1642472,Шульгинский сельсовет,2013,11.0
1643000,Солонешенский муниципальный район,2013,-144.0
1643407,Берёзовский сельсовет,2013,10.0
1643423,Карповский сельсовет,2013,-8.0
1643434,Лютаевский сельсовет,2013,0.0
1643445,Сибирячихинский сельсовет,2013,1.0
1643450,Солонешенский сельсовет,2013,-84.0
1643457,Степной сельсовет,2013,-32.0
1643470,Тополинский сельсовет,2013,-25.0
1643481,Тумановский сельсовет,2013,-6.0
1644000,Солтонский муниципальный район,2013,-68.0
1644424,Карабинский сельсовет,2013,0.0
1644436,Макарьевский сельсовет,2013,-6.0
1644447,Ненинский сельсовет,2013,-25.0
1644450,Нижнененинский сельсовет,2013,-2.0
1644481,Солтонский сельсовет,2013,-35.0
1644492,Сузопский сельсовет,2013,0.0
1645000,Шелаболихинский муниципальный район,2013,-145.0
1645410,Верх-Кучукский сельсовет,2013,-20.0
1645420,Ильинский сельсовет,2013,-17.0
1645423,Инской сельсовет,2013,-5.0
1645428,Кипринский сельсовет,2013,-21.0
1645430,Крутишинский сельсовет,2013,-29.0
1645433,Кучукский сельсовет,2013,8.0
1645438,Макаровский сельсовет,2013,-12.0
1645442,Новообинцевский сельсовет,2013,-11.0
1645445,Омутский сельсовет,2013,-15.0
1645460,Шелаболихинский сельсовет,2013,-23.0
1646000,Табунский муниципальный район,2013,-196.0
1646407,Алтайский сельсовет,2013,-53.0
1646422,Большеромановский сельсовет,2013,-15.0
1646440,Лебединский сельсовет,2013,-61.0
1646455,Серебропольский сельсовет,2013,-44.0
1646466,Табунский сельсовет,2013,-17.0
1647000,Тальменский муниципальный район,2013,154.0
1647151,Тальменский поссовет,2013,252.0
1647406,Анисимовский сельсовет,2013,-28.0
1647415,Зайцевский сельсовет,2013,-12.0
