oktmo,name,year,inflow
01616494,Толстовский сельсовет,2012,14.0
01616497,Филипповский сельсовет,2012,5.0
01617000,Ключевский муниципальный район,2012,70.0
01617406,Васильчуковский сельсовет,2012,5.0
01617412,Зелёнополянский сельсовет,2012,4.0
01617415,Истимисский сельсовет,2012,3.0
01617424,Ключевский сельсовет,2012,32.0
01617430,Марковский сельсовет,2012,1.0
01617435,Новополтавский сельсовет,2012,5.0
01617437,Новоцелинный сельсовет,2012,7.0
01617446,Петуховский сельсовет,2012,2.0
01617468,Покровский сельсовет,2012,2.0
01617479,Северский сельсовет,2012,9.0
01618000,Косихинский муниципальный район,2012,109.0
01618414,Верх-Жилинский сельсовет,2012,3.0
01618425,Каркавинский сельсовет,2012,2.0
01618430,Контошинский сельсовет,2012,8.0
01618434,Косихинский сельсовет,2012,38.0
01618440,Лосихинский сельсовет,2012,4.0
01618449,Малаховский сельсовет,2012,6.0
01618460,Налобихинский сельсовет,2012,34.0
01618466,Плотниковский сельсовет,2012,2.0
01618468,Полковниковский сельсовет,2012,12.0
01619000,Красногорский муниципальный район,2012,236.0
01619405,Берёзовский сельсовет,2012,36.0
01619407,Быстрянский сельсовет,2012,89.0
01619423,Красногорский сельсовет,2012,47.0
01619445,Новозыковский сельсовет,2012,6.0
01619447,Новоталовский сельсовет,2012,3.0
01619456,Соусканихинский сельсовет,2012,14.0
01619478,Усть-Ишинский сельсовет,2012,25.0
01619489,Усть-Кажинский сельсовет,2012,16.0
01620000,Краснощёковский муниципальный район,2012,77.0
01620406,Акимовский сельсовет,2012,2.0
01620412,Берёзовский сельсовет,2012,6.0
01620417,Верх-Камышенский сельсовет,2012,9.0
01620424,Карповский сельсовет,2012,2.0
01620430,Краснощёковский сельсовет,2012,17.0
01620436,Куйбышевский сельсовет,2012,8.0
01620442,Маралихинский сельсовет,2012,5.0
01620448,Новошипуновский сельсовет,2012,2.0
01620459,Суетский сельсовет,2012,1.0
01620468,Усть-Беловский сельсовет,2012,2.0
01620470,Усть-Козлухинский сельсовет,2012,1.0
01620472,Усть-Пустынский сельсовет,2012,5.0
01620481,Харловский сельсовет,2012,14.0
01620492,Чинетинский сельсовет,2012,3.0
01621000,Крутихинский муниципальный район,2012,138.0
01621406,Боровской сельсовет,2012,10.0
01621412,Волчно-Бурлинский сельсовет,2012,13.0
01621418,Долганский сельсовет,2012,5.0
01621424,Заковряшинский сельсовет,2012,15.0
01621430,Крутихинский сельсовет,2012,39.0
01621436,Маловолчанский сельсовет,2012,12.0
01621442,Новодубровский сельсовет,2012,17.0
01621446,Подборный сельсовет,2012,6.0
01621448,Прыганский сельсовет,2012,21.0
01622000,Кулундинский муниципальный район,2012,275.0
01622411,Ананьевский сельсовет,2012,20.0
01622433,Воздвиженский сельсовет,2012,6.0
01622444,Златополинский сельсовет,2012,3.0
01622455,Константиновский сельсовет,2012,5.0
01622460,Кулундинский сельсовет,2012,194.0
01622466,Курский сельсовет,2012,12.0
01622472,Мирабилитский сельсовет,2012,5.0
01622477,Октябрьский сельсовет,2012,26.0
01622488,Семёновский сельсовет,2012,4.0
01623000,Курьинский муниципальный район,2012,102.0
01623411,Бугрышихинский сельсовет,2012,2.0
01623422,Ивановский сельсовет,2012,7.0
01623433,Казанцевский сельсовет,2012,5.0
01623438,Колыванский сельсовет,2012,13.0
01623444,Краснознаменский сельсовет,2012,15.0
01623455,Кузнецовский сельсовет,2012,3.0
01623466,Курьинский сельсовет,2012,35.0
01623468,Новофирсовский сельсовет,2012,12.0
01623477,Трусовский сельсовет,2012,3.0
01623488,Усть-Таловский сельсовет,2012,7.0
01624000,Кытмановский муниципальный район,2012,140.0
01624407,Дмитро-Титовский сельсовет,2012,8.0
01624423,Кытмановский сельсовет,2012,34.0
01624434,Червовский сельсовет,2012,18.0
01624446,Новотарабинский сельсовет,2012,10.0
01624457,Октябрьский сельсовет,2012,25.0
01624469,Порошинский сельсовет,2012,5.0
01624480,Семено-Красиловский сельсовет,2012,10.0
01624491,Сунгайский сельсовет,2012,9.0
01624493,Тягунский сельсовет,2012,16.0
01624494,Тяхтинский сельсовет,2012,5.0
01625000,Локтевский муниципальный район,2012,164.0
01625101,город Горняк,2012,116.0
01625409,Второкаменский сельсовет,2012,3.0
01625413,Георгиевский сельсовет,2012,4.0
01625421,Золотухинский сельсовет,2012,5.0
01625426,Кировский сельсовет,2012,9.0
01625434,Локтевский сельсовет,2012,3.0
01625440,Масальский сельсовет,2012,2.0
01625456,Новенский сельсовет,2012,5.0
01625459,Новомихайловский сельсовет,2012,1.0
01625466,Покровский сельсовет,2012,2.0
01625473,Ремовский сельсовет,2012,4.0
01625476,Самарский сельсовет,2012,3.0
01625484,Успенский сельсовет,2012,6.0
01625495,Устьянский сельсовет,2012,1.0
01626000,Мамонтовский муниципальный район,2012,156.0
01626406,Буканский сельсовет,2012,15.0
01626412,Гришенский сельсовет,2012,3.0
01626417,Ермачихинский сельсовет,2012,4.0
01626424,Кадниковский сельсовет,2012,9.0
01626429,Комсомольский сельсовет,2012,8.0
01626434,Корчинский сельсовет,2012,5.0
01626437,Костино-Логовской сельсовет,2012,11.0
01626442,Крестьянский сельсовет,2012,7.0
01626449,Мамонтовский сельсовет,2012,62.0
01626460,Островновский сельсовет,2012,8.0
01626468,Покровский сельсовет,2012,6.0
01626478,Тимирязевский сельсовет,2012,7.0
01626492,Чернокурьинский сельсовет,2012,11.0
01627000,Михайловский муниципальный район,2012,196.0
01627154,Малиновоозёрский поссовет,2012,39.0
01627405,Ащегульский сельсовет,2012,2.0
01627411,Бастанский сельсовет,2012,3.0
01627416,Михайловский сельсовет,2012,95.0
01627420,Назаровский сельсовет,2012,9.0
01627422,Николаевский сельсовет,2012,7.0
01627433,Полуямский сельсовет,2012,3.0
01627444,Ракитовский сельсовет,2012,38.0
01628000,Новичихинский муниципальный район,2012,65.0
01628411,Долговский сельсовет,2012,5.0
01628422,Лобанихинский сельсовет,2012,9.0
01628433,Мельниковский сельсовет,2012,11.0
01628444,Новичихинский сельсовет,2012,15.0
01628455,Поломошенский сельсовет,2012,14.0
01628466,Солоновский сельсовет,2012,6.0
01628477,Токарёвский сельсовет,2012,5.0
01629000,Зональный муниципальный район,2012,173.0
01629412,Буланихинский сельсовет,2012,12.0
01629426,Зональный сельсовет,2012,61.0
01629442,Луговской сельсовет,2012,2.0
01629466,Новочемровский сельсовет,2012,9.0
01629470,Октябрьский сельсовет,2012,3.0
01629474,Плешковский сельсовет,2012,8.0
01629480,Соколовский сельсовет,2012,54.0
01629493,Чемровский сельсовет,2012,14.0
01629496,Шубенский сельсовет,2012,10.0
01630000,Павловский муниципальный район,2012,239.0
01630401,Арбузовский сельсовет,2012,15.0
01630403,Бурановский сельсовет,2012,4.0
01630432,Колыванский сельсовет,2012,15.0
01630437,Комсомольский сельсовет,2012,23.0
01630449,Лебяжинский сельсовет,2012,6.0
01630455,Новозоринский сельсовет,2012,25.0
01630460,Павловский сельсовет,2012,73.0
01630462,Павлозаводской сельсовет,2012,11.0
01630464,Прутской сельсовет,2012,8.0
01630466,Рогозихинский сельсовет,2012,8.0
