name,year,inflow
Поспелихинский сельсовет,2022,39.0
Поспелихинский Центральный сельсовет,2022,391.0
Ребрихинский муниципальный район,2022,680.0
Беловский сельсовет,2022,50.0
Боровлянский сельсовет,2022,9.0
Воронихинский сельсовет,2022,22.0
Зеленорощинский сельсовет,2022,25.0
Зиминский сельсовет,2022,22.0
Клочковский сельсовет,2022,29.0
Пановский сельсовет,2022,34.0
Плоскосеминский сельсовет,2022,8.0
Подстепновский сельсовет,2022,49.0
Ребрихинский сельсовет,2022,305.0
Рожне-Логовской сельсовет,2022,22.0
Станционно-Ребрихинский сельсовет,2022,80.0
Усть-Мосихинский сельсовет,2022,25.0
Родинский муниципальный район,2022,491.0
Зелёнолуговской сельсовет,2022,8.0
Каяушинский сельсовет,2022,9.0
Кочкинский сельсовет,2022,7.0
Мирненский сельсовет,2022,61.0
Покровский сельсовет,2022,31.0
Раздольненский сельсовет,2022,22.0
Родинский сельсовет,2022,247.0
Степновский сельсовет,2022,27.0
Степно-Кучукский сельсовет,2022,16.0
Шаталовский сельсовет,2022,16.0
Центральный сельсовет,2022,27.0
Ярослав-Логовской сельсовет,2022,20.0
Романовский муниципальный район,2022,273.0
Гилёв-Логовской сельсовет,2022,14.0
Грано-Маяковский сельсовет,2022,1.0
Гуселетовский сельсовет,2022,18.0
Дубровинский сельсовет,2022,16.0
Закладинский сельсовет,2022,11.0
Казанцевский сельсовет,2022,5.0
Майский сельсовет,2022,10.0
Мормышанский сельсовет,2022,6.0
Рассветовский сельсовет,2022,6.0
Романовский сельсовет,2022,136.0
Сидоровский сельсовет,2022,38.0
Тамбовский сельсовет,2022,12.0
Рубцовский муниципальный район,2022,798.0
Безрукавский сельсовет,2022,88.0
Бобковский сельсовет,2022,10.0
Большешелковниковский сельсовет,2022,21.0
Веселоярский сельсовет,2022,148.0
Вишнёвский сельсовет,2022,18.0
Дальний сельсовет,2022,19.0
Куйбышевский сельсовет,2022,112.0
Новоалександровский сельсовет,2022,65.0
Новониколаевский сельсовет,2022,45.0
Новороссийский сельсовет,2022,11.0
Новосклюихинский сельсовет,2022,71.0
Половинкинский сельсовет,2022,26.0
Ракитовский сельсовет,2022,40.0
Рубцовский сельсовет,2022,60.0
Самарский сельсовет,2022,27.0
Саратовский сельсовет,2022,14.0
Тишинский сельсовет,2022,23.0
Смоленский муниципальный район,2022,625.0
Ануйский сельсовет,2022,35.0
Верх-Обский сельсовет,2022,63.0
Кировский сельсовет,2022,47.0
Линёвский сельсовет,2022,39.0
Новотырышкинский сельсовет,2022,46.0
Смоленский сельсовет,2022,277.0
Солоновский сельсовет,2022,32.0
Сычёвский сельсовет,2022,64.0
Точилинский сельсовет,2022,22.0
Суетский муниципальный район,2022,109.0
Александровский сельсовет,2022,13.0
Боронский сельсовет,2022,10.0
Верх-Суетский сельсовет,2022,59.0
Нижнесуетский сельсовет,2022,27.0
Советский муниципальный район,2022,525.0
Кокшинский сельсовет,2022,23.0
Коловский сельсовет,2022,13.0
Красноярский сельсовет,2022,39.0
Никольский сельсовет,2022,32.0
Платовский сельсовет,2022,38.0
Половинский сельсовет,2022,45.0
Сетовский сельсовет,2022,37.0
Советский сельсовет,2022,123.0
Талицкий сельсовет,2022,14.0
Урожайный сельсовет,2022,69.0
Шульгин-Логский сельсовет,2022,31.0
Шульгинский сельсовет,2022,61.0
Солонешенский муниципальный район,2022,399.0
Берёзовский сельсовет,2022,24.0
Карповский сельсовет,2022,5.0
Лютаевский сельсовет,2022,12.0
Сибирячихинский сельсовет,2022,26.0
Солонешенский сельсовет,2022,213.0
Степной сельсовет,2022,26.0
Тополинский сельсовет,2022,68.0
Тумановский сельсовет,2022,25.0
Солтонский муниципальный район,2022,175.0
Карабинский сельсовет,2022,33.0
Макарьевский сельсовет,2022,17.0
Ненинский сельсовет,2022,21.0
Нижнененинский сельсовет,2022,18.0
Солтонский сельсовет,2022,71.0
Сузопский сельсовет,2022,15.0
Шелаболихинский муниципальный район,2022,398.0
Верх-Кучукский сельсовет,2022,33.0
Ильинский сельсовет,2022,29.0
Инской сельсовет,2022,27.0
Кипринский сельсовет,2022,44.0
Крутишинский сельсовет,2022,25.0
Кучукский сельсовет,2022,64.0
Макаровский сельсовет,2022,9.0
Новообинцевский сельсовет,2022,14.0
Шелаболихинский сельсовет,2022,153.0
Табунский муниципальный район,2022,298.0
Алтайский сельсовет,2022,69.0
Большеромановский сельсовет,2022,22.0
Лебединский сельсовет,2022,19.0
Серебропольский сельсовет,2022,53.0
Табунский сельсовет,2022,135.0
Тальменский муниципальный район,2022,1586.0
Тальменский поссовет,2022,627.0
Анисимовский сельсовет,2022,65.0
Зайцевский сельсовет,2022,21.0
Казанцевский сельсовет,2022,4.0
Кашкарагаихинский сельсовет,2022,42.0
Курочкинский сельсовет,2022,29.0
Ларичихинский сельсовет,2022,83.0
Луговской сельсовет,2022,56.0
Лушниковский сельсовет,2022,17.0
Новоозёрский сельсовет,2022,224.0
Новоперуновский сельсовет,2022,58.0
Новотроицкий сельсовет,2022,43.0
Озёрский сельсовет,2022,161.0
Речкуновский сельсовет,2022,6.0
Среднесибирский сельсовет,2022,85.0
Староперуновский сельсовет,2022,24.0
Шадринцевский сельсовет,2022,17.0
Шишкинский сельсовет,2022,24.0
Тогульский муниципальный район,2022,243.0
Антипинский сельсовет,2022,49.0
Новоиушинский сельсовет,2022,6.0
Старотогульский сельсовет,2022,39.0
Тогульский сельсовет,2022,142.0
Топтушинский сельсовет,2022,7.0
Топчихинский муниципальный район,2022,869.0
Белояровский сельсовет,2022,35.0
Володарский сельсовет,2022,18.0
Зиминский сельсовет,2022,14.0
Кировский сельсовет,2022,56.0
Ключевский сельсовет,2022,9.0
Красноярский сельсовет,2022,15.0
Макарьевский сельсовет,2022,38.0
Парфёновский сельсовет,2022,49.0
Переясловский сельсовет,2022,58.0
Победимский сельсовет,2022,56.0
Покровский сельсовет,2022,17.0
Сидоровский сельсовет,2022,16.0
Топчихинский сельсовет,2022,373.0
Фунтиковский сельсовет,2022,40.0
Хабазинский сельсовет,2022,17.0
Чаузовский сельсовет,2022,11.0
Чистюньский сельсовет,2022,47.0
Третьяковский муниципальный район,2022,455.0
Екатерининский сельсовет,2022,69.0
Корболихинский сельсовет,2022,48.0
Новоалейский сельсовет,2022,13.0
Первокаменский сельсовет,2022,17.0
Плосковский сельсовет,2022,8.0
Садовый сельсовет,2022,33.0
Староалейский сельсовет,2022,173.0
Третьяковский сельсовет,2022,75.0
Шипунихинский сельсовет,2022,19.0
Троицкий муниципальный район,2022,804.0
Беловский сельсовет,2022,79.0
Боровлянский сельсовет,2022,30.0
