oktmo,name,year,outflow
01634439,Клепечихинский сельсовет,2019,1.0
01634450,Красноярский сельсовет,2019,1.0
01634495,Поспелихинский Центральный сельсовет,2019,9.0
01635000,Ребрихинский муниципальный район,2019,8.0
01635407,Беловский сельсовет,2019,2.0
01635459,Подстепновский сельсовет,2019,1.0
01635464,Ребрихинский сельсовет,2019,3.0
01635476,Станционно-Ребрихинский сельсовет,2019,2.0
01637000,Романовский муниципальный район,2019,2.0
01637435,Закладинский сельсовет,2019,1.0
01637468,Романовский сельсовет,2019,1.0
01638000,Рубцовский муниципальный район,2019,151.0
01638406,Безрукавский сельсовет,2019,33.0
01638412,Бобковский сельсовет,2019,1.0
01638415,Большешелковниковский сельсовет,2019,8.0
01638418,Веселоярский сельсовет,2019,28.0
01638420,Вишнёвский сельсовет,2019,2.0
01638422,Дальний сельсовет,2019,10.0
01638425,Куйбышевский сельсовет,2019,17.0
01638437,Новоалександровский сельсовет,2019,19.0
01638440,Новониколаевский сельсовет,2019,6.0
01638447,Новосклюихинский сельсовет,2019,6.0
01638451,Половинкинский сельсовет,2019,1.0
01638462,Рубцовский сельсовет,2019,11.0
01638465,Самарский сельсовет,2019,3.0
01638467,Саратовский сельсовет,2019,6.0
01641000,Суетский муниципальный район,2019,6.0
01641410,Боронский сельсовет,2019,1.0
01641413,Верх-Суетский сельсовет,2019,2.0
01641425,Нижнесуетский сельсовет,2019,3.0
01642000,Советский муниципальный район,2019,16.0
01642411,Кокшинский сельсовет,2019,2.0
01642420,Красноярский сельсовет,2019,2.0
01642452,Советский сельсовет,2019,11.0
01642472,Шульгинский сельсовет,2019,1.0
01643000,Солонешенский муниципальный район,2019,9.0
01643450,Солонешенский сельсовет,2019,7.0
01643470,Тополинский сельсовет,2019,1.0
01643481,Тумановский сельсовет,2019,1.0
01645000,Шелаболихинский муниципальный район,2019,3.0
01645410,Верх-Кучукский сельсовет,2019,1.0
01645460,Шелаболихинский сельсовет,2019,2.0
01646000,Табунский муниципальный район,2019,1.0
01646422,Большеромановский сельсовет,2019,1.0
01647000,Тальменский муниципальный район,2019,103.0
01647151,Тальменский поссовет,2019,51.0
01647406,Анисимовский сельсовет,2019,1.0
01647415,Зайцевский сельсовет,2019,1.0
01647430,Кашкарагаихинский сельсовет,2019,7.0
01647448,Луговской сельсовет,2019,1.0
01647451,Лушниковский сельсовет,2019,2.0
01647456,Новоозёрский сельсовет,2019,12.0
01647459,Новоперуновский сельсовет,2019,1.0
01647466,Озёрский сельсовет,2019,11.0
01647473,Среднесибирский сельсовет,2019,10.0
01647482,Шадринцевский сельсовет,2019,1.0
01647492,Шишкинский сельсовет,2019,5.0
01648000,Тогульский муниципальный район,2019,1.0
01648446,Тогульский сельсовет,2019,1.0
01649000,Топчихинский муниципальный район,2019,29.0
01649407,Володарский сельсовет,2019,1.0
01649420,Ключевский сельсовет,2019,1.0
01649436,Макарьевский сельсовет,2019,2.0
01649447,Парфёновский сельсовет,2019,3.0
01649450,Переясловский сельсовет,2019,2.0
01649452,Победимский сельсовет,2019,1.0
01649462,Топчихинский сельсовет,2019,12.0
01649469,Фунтиковский сельсовет,2019,1.0
01649491,Чистюньский сельсовет,2019,6.0
01650000,Третьяковский муниципальный район,2019,20.0
01650411,Екатерининский сельсовет,2019,2.0
01650433,Новоалейский сельсовет,2019,1.0
01650455,Плосковский сельсовет,2019,1.0
01650460,Садовый сельсовет,2019,2.0
01650466,Староалейский сельсовет,2019,11.0
01650477,Третьяковский сельсовет,2019,2.0
01650488,Шипунихинский сельсовет,2019,1.0
01651000,Троицкий муниципальный район,2019,38.0
01651408,Беловский сельсовет,2019,3.0
01651414,Гордеевский сельсовет,2019,12.0
01651457,Троицкий сельсовет,2019,20.0
01651470,Хайрюзовский сельсовет,2019,2.0
01651492,Южаковский сельсовет,2019,1.0
01652000,Тюменцевский муниципальный район,2019,3.0
01652458,Тюменцевский сельсовет,2019,3.0
01653000,Угловский муниципальный район,2019,20.0
01653411,Круглянский сельсовет,2019,2.0
01653422,Лаптевский сельсовет,2019,3.0
01653466,Павловский сельсовет,2019,4.0
01653480,Тополинский сельсовет,2019,1.0
01653488,Угловский сельсовет,2019,10.0
01654000,Усть-Калманский муниципальный район,2019,3.0
01654408,Кабановский сельсовет,2019,1.0
01654444,Огнёвский сельсовет,2019,1.0
01654455,Усть-Калманский сельсовет,2019,1.0
01655000,Усть-Пристанский муниципальный район,2019,6.0
01655440,Коробейниковский сельсовет,2019,1.0
01655457,Нижнегусихинский сельсовет,2019,1.0
01655480,Усть-Пристанский сельсовет,2019,4.0
01656000,Хабарский муниципальный район,2019,6.0
01656430,Мартовский сельсовет,2019,2.0
01656435,Мичуринский сельсовет,2019,1.0
01656486,Тополинский сельсовет,2019,1.0
01656493,Хабарский сельсовет,2019,2.0
01657000,Целинный муниципальный район,2019,2.0
01657407,Бочкарёвский сельсовет,2019,1.0
01657468,Сухо-Чемровский сельсовет,2019,1.0
01658000,Чарышский муниципальный район,2019,8.0
01658422,Малобащелакский сельсовет,2019,1.0
01658433,Маралихинский сельсовет,2019,1.0
01658488,Чарышский сельсовет,2019,6.0
01659000,Шипуновский муниципальный район,2019,5.0
01659426,Горьковский сельсовет,2019,2.0
01659490,Хлопуновский сельсовет,2019,1.0
01659495,Шипуновский сельсовет,2019,2.0
01660000,Немецкий национальный муниципальный район,2019,22.0
01660405,Гришковский сельсовет,2019,3.0
01660415,Камышинский сельсовет,2019,1.0
01660420,Гальбштадтский сельсовет,2019,4.0
01660425,Николаевский сельсовет,2019,1.0
01660430,Орловский сельсовет,2019,8.0
01660450,Редкодубравский сельсовет,2019,3.0
01660470,Кусакский сельсовет,2019,2.0
01701000,город Барнаул,2019,7616.0
01703000,город Алейск,2019,9.0
01704000,город Белокуриха,2019,40.0
01705000,город Бийск,2019,451.0
01706000,город Заринск,2019,58.0
