oktmo,name,year,avgsalary
1640000,Смоленский муниципальный район,2016,18115.5
1641000,Суетский муниципальный район,2011,9695.9
1641000,Суетский муниципальный район,2012,11330.4
1641000,Суетский муниципальный район,2013,12498.7
1641000,Суетский муниципальный район,2014,13056.0
1641000,Суетский муниципальный район,2015,14567.8
1641000,Суетский муниципальный район,2016,15617.9
1642000,Советский муниципальный район,2011,10761.6
1642000,Советский муниципальный район,2012,12373.0
1642000,Советский муниципальный район,2013,13982.4
1642000,Советский муниципальный район,2014,15938.1
1642000,Советский муниципальный район,2015,16664.1
1642000,Советский муниципальный район,2016,18168.3
1643000,Солонешенский муниципальный район,2011,10341.0
1643000,Солонешенский муниципальный район,2012,11785.6
1643000,Солонешенский муниципальный район,2013,13225.6
1643000,Солонешенский муниципальный район,2014,15627.9
1643000,Солонешенский муниципальный район,2015,15528.1
1643000,Солонешенский муниципальный район,2016,16453.6
1644000,Солтонский муниципальный район,2011,10582.3
1644000,Солтонский муниципальный район,2012,12654.0
1644000,Солтонский муниципальный район,2013,14118.7
1644000,Солтонский муниципальный район,2014,15876.0
1644000,Солтонский муниципальный район,2015,16653.5
1644000,Солтонский муниципальный район,2016,16700.0
1645000,Шелаболихинский муниципальный район,2011,10021.5
1645000,Шелаболихинский муниципальный район,2012,11292.6
1645000,Шелаболихинский муниципальный район,2013,12715.4
1645000,Шелаболихинский муниципальный район,2014,14283.0
1645000,Шелаболихинский муниципальный район,2015,15548.5
1645000,Шелаболихинский муниципальный район,2016,17074.4
1646000,Табунский муниципальный район,2011,10989.1
1646000,Табунский муниципальный район,2012,12362.3
1646000,Табунский муниципальный район,2013,14042.7
1646000,Табунский муниципальный район,2014,15718.4
1646000,Табунский муниципальный район,2015,16535.8
1646000,Табунский муниципальный район,2016,17681.2
1647000,Тальменский муниципальный район,2011,12194.1
1647000,Тальменский муниципальный район,2012,14372.0
1647000,Тальменский муниципальный район,2013,16362.6
1647000,Тальменский муниципальный район,2014,17950.2
1647000,Тальменский муниципальный район,2015,18824.7
1647000,Тальменский муниципальный район,2016,19459.0
1648000,Тогульский муниципальный район,2011,11677.4
1648000,Тогульский муниципальный район,2012,13079.4
1648000,Тогульский муниципальный район,2013,15549.9
1648000,Тогульский муниципальный район,2014,17530.6
1648000,Тогульский муниципальный район,2015,18466.2
1648000,Тогульский муниципальный район,2016,19247.9
1649000,Топчихинский муниципальный район,2011,11111.6
1649000,Топчихинский муниципальный район,2012,13525.2
1649000,Топчихинский муниципальный район,2013,14992.5
1649000,Топчихинский муниципальный район,2014,16603.9
1649000,Топчихинский муниципальный район,2015,17435.0
1649000,Топчихинский муниципальный район,2016,18537.6
1650000,Третьяковский муниципальный район,2011,10448.1
1650000,Третьяковский муниципальный район,2012,11904.9
1650000,Третьяковский муниципальный район,2013,13231.0
1650000,Третьяковский муниципальный район,2014,14604.1
1650000,Третьяковский муниципальный район,2015,15779.2
1650000,Третьяковский муниципальный район,2016,16872.9
1651000,Троицкий муниципальный район,2011,10073.4
1651000,Троицкий муниципальный район,2012,12403.7
1651000,Троицкий муниципальный район,2013,14276.8
1651000,Троицкий муниципальный район,2014,15781.0
1651000,Троицкий муниципальный район,2015,16934.1
1651000,Троицкий муниципальный район,2016,17419.0
1652000,Тюменцевский муниципальный район,2011,9833.0
1652000,Тюменцевский муниципальный район,2012,11196.3
1652000,Тюменцевский муниципальный район,2013,12283.0
1652000,Тюменцевский муниципальный район,2014,13550.3
1652000,Тюменцевский муниципальный район,2015,14239.8
1652000,Тюменцевский муниципальный район,2016,15672.2
1653000,Угловский муниципальный район,2011,12469.5
1653000,Угловский муниципальный район,2012,14257.8
1653000,Угловский муниципальный район,2013,14722.4
1653000,Угловский муниципальный район,2014,16293.6
1653000,Угловский муниципальный район,2015,16622.0
1653000,Угловский муниципальный район,2016,17419.8
1654000,Усть-Калманский муниципальный район,2011,10506.6
1654000,Усть-Калманский муниципальный район,2012,12612.3
1654000,Усть-Калманский муниципальный район,2013,13486.1
1654000,Усть-Калманский муниципальный район,2014,14932.9
1654000,Усть-Калманский муниципальный район,2015,15961.2
1654000,Усть-Калманский муниципальный район,2016,17819.3
1655000,Усть-Пристанский муниципальный район,2011,11432.6
1655000,Усть-Пристанский муниципальный район,2012,13214.2
1655000,Усть-Пристанский муниципальный район,2013,14591.6
1655000,Усть-Пристанский муниципальный район,2014,15374.8
1655000,Усть-Пристанский муниципальный район,2015,15769.7
1655000,Усть-Пристанский муниципальный район,2016,16535.3
1656000,Хабарский муниципальный район,2011,11114.5
1656000,Хабарский муниципальный район,2012,12680.1
1656000,Хабарский муниципальный район,2013,13697.4
1656000,Хабарский муниципальный район,2014,14928.6
1656000,Хабарский муниципальный район,2015,15457.8
