oktmo,name,year,saldo
57630000,Кунгурский муниципальный район,2008,55.0
57632000,Лысьвенский муниципальный район,2008,-159.0
57634000,Нытвенский муниципальный район,2008,-58.0
57636000,Октябрьский муниципальный район,2008,-17.0
57638000,Ординский муниципальный район,2008,-101.0
57640000,Осинский муниципальный район,2008,-30.0
57642000,Оханский муниципальный район,2008,-2.0
57644000,Очерский муниципальный район,2008,-37.0
57646000,Пермский муниципальный район,2008,-335.0
57648000,Сивинский муниципальный район,2008,2.0
57650000,Соликамский муниципальный район,2008,81.0
57651000,Суксунский муниципальный район,2008,-29.0
57652000,Уинский муниципальный район,2008,-137.0
57653000,Усольский муниципальный район,2008,-4.0
57654000,Чайковский муниципальный район,2008,-8.0
57655000,Частинский муниципальный район,2008,-21.0
57656000,Чердынский муниципальный район,2008,-322.0
57657000,Чернушинский муниципальный район,2008,-120.0
57658000,Чусовской муниципальный район,2008,-139.0
57701000,Пермский,2008,561.0
57708000,город Березники,2008,-495.0
57722000,Городской округ город Кунгур,2008,221.0
57730000,Соликамский,2008,-774.0
57814000,Гайнский муниципальный район,2008,-133.0
57817000,Косинский муниципальный район,2008,-87.0
57819000,Кочевский муниципальный район,2008,-27.0
57821000,Кудымкарский муниципальный район,2008,-116.0
57825000,Юрлинский муниципальный район,2008,-52.0
57827000,Юсьвинский муниципальный район,2008,40.0
57851000,Городской округ город Кудымкар,2008,-132.0
64628000,Невельский муниципальный район,2008,-2207.0
64652000,Углегорский муниципальный район,2008,-204.0
64701000,город Южно-Сахалинск,2008,786.0
64704000,Александровск-Сахалинский район,2008,-215.0
64708000,Анивский,2008,889.0
64709000,Городской округ Вахрушев,2008,-24.0
64712000,Долинский,2008,-162.0
64716000,Корсаковский,2008,-23.0
64720000,Курильский,2008,-268.0
64724000,Макаровский,2008,-48.0
64732000,Ногликский,2008,-120.0
64736000,Охинский,2008,-390.0
64740000,Поронайский,2008,-159.0
64743000,Северо-Курильский,2008,-58.0
64746000,Смирныховский,2008,-95.0
64748000,Томаринский,2008,-38.0
64750000,Тымовский,2008,-168.0
64754000,Холмский,2008,-401.0
64756000,Южно-Курильский,2008,12.0
79000000,Муниципальные образования Республики Адыгеи (Адыгеи),2008,1659.0
79600000,Муниципальные районы Республики Адыгеи (Адыгеи),2008,830.0
79605000,Гиагинский муниципальный район,2008,140.0
79615000,Кошехабльский муниципальный район,2008,129.0
