oktmo,name,year,saldo
3607000,Белоглинский муниципальный район,2018,-23.0
3607402,Белоглинское,2018,-6.0
3607404,Новопавловское,2018,-3.0
3607407,Успенское,2018,-6.0
3607410,Центральное,2018,-8.0
3608000,Белореченский муниципальный район,2018,121.0
3608101,Белореченское,2018,54.0
3608402,Бжедуховское,2018,5.0
3608404,Великовечненское,2018,5.0
3608405,Дружненское,2018,5.0
3608407,Первомайское,2018,8.0
3608410,Пшехское,2018,19.0
3608412,Родниковское,2018,1.0
3608413,Рязанское,2018,-5.0
3608416,Черниговское,2018,3.0
3608419,Школьненское,2018,7.0
3608420,Южненское,2018,19.0
3610000,Брюховецкий муниципальный район,2018,-45.0
3610402,Батуринское,2018,-7.0
3610404,Большебейсугское,2018,-4.0
3610407,Брюховецкое,2018,-24.0
3610410,Новоджерелиевское,2018,-4.0
3610416,Переясловское,2018,-3.0
3610419,Свободненское,2018,-5.0
3610422,Чепигинское,2018,2.0
3612000,Выселковский муниципальный район,2018,-84.0
3612407,Березанское,2018,-10.0
3612413,Выселковское,2018,-35.0
3612422,Новобейсугское,2018,-7.0
3613000,Гулькевичский муниципальный район,2018,103.0
3613101,Гулькевичское,2018,51.0
3613154,Гирейское,2018,5.0
3613162,Красносельское,2018,18.0
3613404,Венцы-Заря,2018,-1.0
3613413,Комсомольское,2018,-5.0
3613416,Кубань,2018,10.0
3613425,Николенское,2018,0.0
3613429,Новоукраинское,2018,10.0
3613434,Отрадо-Кубанское,2018,7.0
3613437,Отрадо-Ольгинское,2018,4.0
3613440,Пушкинское,2018,-4.0
3613445,Скобелевское,2018,4.0
3613448,Соколовское,2018,4.0
3613455,Тысячное,2018,-1.0
3614000,Динской муниципальный район,2018,325.0
3614402,Васюринское,2018,19.0
3614404,Динское,2018,67.0
3614412,Мичуринское,2018,8.0
3614414,Нововеличковское,2018,36.0
3614416,Новотитаровское,2018,57.0
3614422,Пластуновское,2018,27.0
3614428,Старомышастовское,2018,35.0
3614445,Южно-Кубанское,2018,50.0
3616000,Ейский муниципальный район,2018,126.0
3616101,Ейское,2018,61.0
3616402,Александровское,2018,-3.0
