oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
60608000,Верхнедонской муниципальный район,male,2011,0.05054,0.0523,0.0521,0.0584,0.076,0.0843,0.07184,0.07,0.07513,0.0879,0.1543,0.0782,0.06006,0.02904
60609000,Веселовский муниципальный район,female,2011,0.05887,0.05383,0.0516,0.0558,0.0795,0.0787,0.07,0.07227,0.073,0.0858,0.147,0.07635,0.0593,0.03806
60609000,Веселовский муниципальный район,male,2011,0.0657,0.06,0.05405,0.05435,0.092,0.08954,0.0793,0.0761,0.0741,0.0808,0.1389,0.0684,0.04446,0.02238
60612000,Волгодонской муниципальный район,female,2011,0.06616,0.05722,0.05316,0.0645,0.0863,0.0844,0.0727,0.0696,0.0647,0.0734,0.1368,0.0722,0.06165,0.03702
60612000,Волгодонской муниципальный район,male,2011,0.07074,0.0656,0.06125,0.06604,0.0837,0.08984,0.07794,0.0733,0.0663,0.0768,0.1288,0.0658,0.05075,0.02315
60613000,Дубовский муниципальный район,female,2011,0.06494,0.0572,0.05792,0.05655,0.0778,0.0826,0.07336,0.06976,0.06635,0.08496,0.144,0.07794,0.0516,0.03497
60613000,Дубовский муниципальный район,male,2011,0.0692,0.06088,0.0703,0.05573,0.0831,0.08484,0.07544,0.067,0.0674,0.0814,0.1432,0.073,0.04813,0.02026
60615000,Егорлыкский муниципальный район,female,2011,0.06274,0.0564,0.0539,0.05588,0.0758,0.0823,0.0696,0.0734,0.07074,0.085,0.1411,0.0733,0.05963,0.04022
60615000,Егорлыкский муниципальный район,male,2011,0.0708,0.0617,0.05954,0.06165,0.0816,0.09015,0.0717,0.0726,0.0704,0.08887,0.1344,0.0657,0.04767,0.02324
60617000,Заветинский муниципальный район,female,2011,0.05817,0.05423,0.04834,0.06125,0.1032,0.08813,0.0692,0.0629,0.0714,0.0873,0.147,0.07007,0.0475,0.03128
60617000,Заветинский муниципальный район,male,2011,0.05765,0.05457,0.05347,0.06186,0.0933,0.0976,0.0755,0.06323,0.06757,0.08417,0.1533,0.07684,0.04193,0.01906
60618000,Зерноградский муниципальный район,female,2011,0.05426,0.05185,0.05167,0.0629,0.0773,0.0694,0.0698,0.0692,0.0665,0.08765,0.1494,0.0812,0.0668,0.04205
60618000,Зерноградский муниципальный район,male,2011,0.0647,0.0591,0.05502,0.08344,0.0962,0.0786,0.0687,0.064,0.06415,0.0847,0.134,0.0687,0.0525,0.02608
60619000,Зимовниковский муниципальный район,female,2011,0.0672,0.0629,0.0578,0.0719,0.0811,0.07697,0.0737,0.06976,0.0597,0.0753,0.1381,0.075,0.0545,0.03607
60619000,Зимовниковский муниципальный район,male,2011,0.0719,0.0638,0.06464,0.07135,0.08124,0.0816,0.0725,0.07306,0.0678,0.08136,0.1299,0.07117,0.04654,0.02318
60622000,Кагальницкий муниципальный район,female,2011,0.06018,0.05606,0.05374,0.05667,0.07574,0.07385,0.07404,0.0708,0.06744,0.08514,0.1477,0.07806,0.0608,0.0398
60622000,Кагальницкий муниципальный район,male,2011,0.0665,0.0612,0.05936,0.0614,0.08185,0.0834,0.0769,0.0739,0.067,0.0851,0.1387,0.0708,0.04883,0.0252
60623000,Каменский муниципальный район,female,2011,0.05203,0.04953,0.0441,0.05356,0.0714,0.0759,0.06854,0.06757,0.065,0.08466,0.1654,0.0859,0.07336,0.04294
60623000,Каменский муниципальный район,male,2011,0.05978,0.05765,0.0517,0.058,0.08325,0.0781,0.07385,0.0666,0.065,0.0862,0.1547,0.0771,0.06006,0.02808
60624000,Кашарский муниципальный район,female,2011,0.04782,0.0492,0.0464,0.06226,0.08777,0.0758,0.06573,0.0667,0.0727,0.091,0.148,0.0766,0.0649,0.0452
60624000,Кашарский муниципальный район,male,2011,0.05496,0.05157,0.05576,0.05792,0.0936,0.08746,0.0645,0.0682,0.07214,0.09534,0.1498,0.0699,0.05383,0.02484
60625000,Константиновский муниципальный район,female,2011,0.0574,0.05142,0.057,0.071,0.0686,0.0671,0.0682,0.0754,0.0677,0.0831,0.1505,0.08215,0.06177,0.03867
60625000,Константиновский муниципальный район,male,2011,0.0622,0.05588,0.05722,0.06726,0.0763,0.0871,0.0805,0.07983,0.06976,0.08264,0.1382,0.0708,0.0507,0.02165
60626000,Красносулинский муниципальный район,female,2011,0.05276,0.04993,0.0515,0.0523,0.07336,0.07635,0.0704,0.07214,0.0659,0.0804,0.1586,0.0835,0.07,0.04288
60626000,Красносулинский муниципальный район,male,2011,0.0586,0.05692,0.05447,0.05756,0.0805,0.0847,0.07697,0.0717,0.07117,0.07855,0.1477,0.0742,0.05832,0.02866
