oktmo,name,year,docsnum
1615457,Новоромановский сельсовет,2012,3.0
1615457,Новоромановский сельсовет,2013,3.0
1615468,Обской сельсовет,2008,1.0
1615468,Обской сельсовет,2009,1.0
1615468,Обской сельсовет,2010,1.0
1615468,Обской сельсовет,2011,1.0
1615468,Обской сельсовет,2012,1.0
1615468,Обской сельсовет,2013,1.0
1616000,Каменский муниципальный район,2008,16.0
1616000,Каменский муниципальный район,2009,7.0
1616000,Каменский муниципальный район,2010,7.0
1616000,Каменский муниципальный район,2011,6.0
1616000,Каменский муниципальный район,2012,6.0
1616000,Каменский муниципальный район,2013,6.0
1616417,Гоноховский сельсовет,2008,1.0
1616417,Гоноховский сельсовет,2010,1.0
1616417,Гоноховский сельсовет,2011,1.0
1616417,Гоноховский сельсовет,2012,1.0
1616417,Гоноховский сельсовет,2013,1.0
1616437,Корниловский сельсовет,2008,2.0
1616437,Корниловский сельсовет,2009,1.0
1616437,Корниловский сельсовет,2010,1.0
1616437,Корниловский сельсовет,2011,1.0
1616437,Корниловский сельсовет,2012,1.0
1616437,Корниловский сельсовет,2013,1.0
1616461,Новоярковский сельсовет,2008,5.0
1616461,Новоярковский сельсовет,2009,1.0
1616461,Новоярковский сельсовет,2010,1.0
1616461,Новоярковский сельсовет,2011,1.0
1616461,Новоярковский сельсовет,2012,1.0
1616461,Новоярковский сельсовет,2013,1.0
1616473,Попереченский сельсовет,2008,2.0
1616473,Попереченский сельсовет,2009,1.0
1616473,Попереченский сельсовет,2010,1.0
1616473,Попереченский сельсовет,2011,1.0
1616473,Попереченский сельсовет,2012,1.0
1616473,Попереченский сельсовет,2013,1.0
1616475,Пригородный сельсовет,2009,1.0
1616482,Рыбинский сельсовет,2008,2.0
1616482,Рыбинский сельсовет,2009,1.0
1616482,Рыбинский сельсовет,2010,1.0
1616482,Рыбинский сельсовет,2011,1.0
1616482,Рыбинский сельсовет,2012,1.0
1616482,Рыбинский сельсовет,2013,1.0
