oktmo,name,year,goodcompincome
1631000,Панкрушихинский муниципальный район,2012,12811.0
1631000,Панкрушихинский муниципальный район,2013,6591.0
1631000,Панкрушихинский муниципальный район,2014,685.0
1631000,Панкрушихинский муниципальный район,2021,37652.0
1632000,Первомайский муниципальный район,2009,112181.0
1632000,Первомайский муниципальный район,2010,69511.0
1632000,Первомайский муниципальный район,2011,81950.0
1632000,Первомайский муниципальный район,2012,15006.0
1632000,Первомайский муниципальный район,2013,58933.0
1632000,Первомайский муниципальный район,2014,33600.0
1632000,Первомайский муниципальный район,2015,73233.0
1632000,Первомайский муниципальный район,2016,57558.0
1632000,Первомайский муниципальный район,2017,46943.0
1632000,Первомайский муниципальный район,2018,65315.0
1632000,Первомайский муниципальный район,2019,45189.0
1632000,Первомайский муниципальный район,2021,112135.0
1632000,Первомайский муниципальный район,2022,76487.0
1633000,Петропавловский муниципальный район,2009,148698.0
1633000,Петропавловский муниципальный район,2010,186017.0
1633000,Петропавловский муниципальный район,2011,220390.0
1633000,Петропавловский муниципальный район,2012,260721.0
1633000,Петропавловский муниципальный район,2013,240032.0
1633000,Петропавловский муниципальный район,2014,308874.0
1634000,Поспелихинский муниципальный район,2009,65974.0
1634000,Поспелихинский муниципальный район,2010,226382.0
1634000,Поспелихинский муниципальный район,2011,191435.0
1634000,Поспелихинский муниципальный район,2012,132078.0
1634000,Поспелихинский муниципальный район,2013,220084.0
1634000,Поспелихинский муниципальный район,2014,199457.0
1634000,Поспелихинский муниципальный район,2015,237567.0
1634000,Поспелихинский муниципальный район,2016,305349.0
1634000,Поспелихинский муниципальный район,2017,305234.0
1634000,Поспелихинский муниципальный район,2018,273840.0
1634000,Поспелихинский муниципальный район,2019,391419.0
1634000,Поспелихинский муниципальный район,2020,728007.0
1634000,Поспелихинский муниципальный район,2021,1170546.0
1634000,Поспелихинский муниципальный район,2022,1099701.0
1634495,Поспелихинский Центральный сельсовет,2016,9256.0
1635000,Ребрихинский муниципальный район,2009,18350.0
1635000,Ребрихинский муниципальный район,2010,31131.0
1635000,Ребрихинский муниципальный район,2011,51771.0
1635000,Ребрихинский муниципальный район,2012,54326.0
1635000,Ребрихинский муниципальный район,2013,40668.0
1635000,Ребрихинский муниципальный район,2014,58643.0
1635000,Ребрихинский муниципальный район,2015,16133.0
1635000,Ребрихинский муниципальный район,2016,45926.0
1635000,Ребрихинский муниципальный район,2021,40901.0
1635000,Ребрихинский муниципальный район,2022,14485.0
1636000,Родинский муниципальный район,2009,25669.0
1636000,Родинский муниципальный район,2010,20367.0
1636000,Родинский муниципальный район,2011,17383.0
1636000,Родинский муниципальный район,2012,7571.0
1636000,Родинский муниципальный район,2013,9160.0
1636000,Родинский муниципальный район,2014,8626.0
1636000,Родинский муниципальный район,2015,29394.0
1636000,Родинский муниципальный район,2016,12084.0
1636000,Родинский муниципальный район,2020,43831.0
1636000,Родинский муниципальный район,2021,372055.0
1637000,Романовский муниципальный район,2009,39774.0
1637000,Романовский муниципальный район,2010,87999.0
1637000,Романовский муниципальный район,2011,70972.0
1637000,Романовский муниципальный район,2012,32097.0
1637000,Романовский муниципальный район,2013,69804.0
1637000,Романовский муниципальный район,2014,48874.0
1637000,Романовский муниципальный район,2015,87250.0
1637000,Романовский муниципальный район,2016,132008.0
1637000,Романовский муниципальный район,2017,54006.0
1637000,Романовский муниципальный район,2018,88739.0
1637000,Романовский муниципальный район,2019,131932.0
1637000,Романовский муниципальный район,2020,177529.0
1637000,Романовский муниципальный район,2021,348393.0
1637000,Романовский муниципальный район,2022,207947.0
1637468,Романовский сельсовет,2016,10783.0
1638000,Рубцовский муниципальный район,2009,745080.0
1638000,Рубцовский муниципальный район,2010,1364411.0
1638000,Рубцовский муниципальный район,2011,1399895.0
1638000,Рубцовский муниципальный район,2012,1138829.0
1638000,Рубцовский муниципальный район,2013,278835.0
1638000,Рубцовский муниципальный район,2014,62296.0
1638000,Рубцовский муниципальный район,2015,142841.0
1638000,Рубцовский муниципальный район,2016,10138.0
1638000,Рубцовский муниципальный район,2017,213254.0
1638000,Рубцовский муниципальный район,2018,87004.0
1638000,Рубцовский муниципальный район,2019,33995.0
1638000,Рубцовский муниципальный район,2020,176097.0
1638000,Рубцовский муниципальный район,2021,839924.0
1638000,Рубцовский муниципальный район,2022,668795.0
1639000,Славгородский муниципальный район,2009,5694.0
1639000,Славгородский муниципальный район,2010,8448.0
1639000,Славгородский муниципальный район,2011,6073.0
1640000,Смоленский муниципальный район,2009,25703.0
1640000,Смоленский муниципальный район,2010,36241.0
1640000,Смоленский муниципальный район,2011,49881.0
1640000,Смоленский муниципальный район,2012,47826.0
1640000,Смоленский муниципальный район,2013,26126.0
1640000,Смоленский муниципальный район,2014,40945.0
1640000,Смоленский муниципальный район,2015,71246.0
1640000,Смоленский муниципальный район,2016,70765.0
1640000,Смоленский муниципальный район,2020,390886.0
1641000,Суетский муниципальный район,2009,355.0
1641000,Суетский муниципальный район,2010,11443.0
1641000,Суетский муниципальный район,2011,13061.0
1641000,Суетский муниципальный район,2012,7693.0
1641000,Суетский муниципальный район,2013,400.0
1641000,Суетский муниципальный район,2014,6356.0
1641000,Суетский муниципальный район,2015,10856.0
1641000,Суетский муниципальный район,2016,59485.0
1641000,Суетский муниципальный район,2019,61926.0
1641000,Суетский муниципальный район,2021,377078.0
1642000,Советский муниципальный район,2009,78165.0
1642000,Советский муниципальный район,2010,334858.0
1642000,Советский муниципальный район,2011,281951.0
1642000,Советский муниципальный район,2012,123316.0
1642000,Советский муниципальный район,2013,191638.0
1642000,Советский муниципальный район,2014,175723.0
1642000,Советский муниципальный район,2015,333341.0
