oktmo,name,year,visiblecompanies
1625000,Локтевский муниципальный район,2012,10.0
1625000,Локтевский муниципальный район,2013,7.0
1625000,Локтевский муниципальный район,2014,4.0
1625000,Локтевский муниципальный район,2015,6.0
1625000,Локтевский муниципальный район,2016,5.0
1625000,Локтевский муниципальный район,2018,3.0
1625000,Локтевский муниципальный район,2019,3.0
1625000,Локтевский муниципальный район,2020,4.0
1625000,Локтевский муниципальный район,2021,3.0
1625000,Локтевский муниципальный район,2022,3.0
1625101,город Горняк,2016,4.0
1626000,Мамонтовский муниципальный район,2009,14.0
1626000,Мамонтовский муниципальный район,2010,12.0
1626000,Мамонтовский муниципальный район,2011,11.0
1626000,Мамонтовский муниципальный район,2012,12.0
1626000,Мамонтовский муниципальный район,2013,9.0
1626000,Мамонтовский муниципальный район,2014,5.0
1626000,Мамонтовский муниципальный район,2015,3.0
1626000,Мамонтовский муниципальный район,2016,4.0
1626000,Мамонтовский муниципальный район,2017,3.0
1626000,Мамонтовский муниципальный район,2018,3.0
1626000,Мамонтовский муниципальный район,2019,4.0
1626000,Мамонтовский муниципальный район,2020,4.0
1626000,Мамонтовский муниципальный район,2021,3.0
1627000,Михайловский муниципальный район,2009,10.0
1627000,Михайловский муниципальный район,2010,10.0
1627000,Михайловский муниципальный район,2011,6.0
1627000,Михайловский муниципальный район,2012,7.0
1627000,Михайловский муниципальный район,2013,7.0
1627000,Михайловский муниципальный район,2014,6.0
1627000,Михайловский муниципальный район,2015,5.0
1627000,Михайловский муниципальный район,2016,4.0
1627000,Михайловский муниципальный район,2017,4.0
1627000,Михайловский муниципальный район,2018,6.0
1627000,Михайловский муниципальный район,2019,3.0
1627000,Михайловский муниципальный район,2020,6.0
1627000,Михайловский муниципальный район,2021,9.0
1627000,Михайловский муниципальный район,2022,10.0
1628000,Новичихинский муниципальный район,2009,8.0
1628000,Новичихинский муниципальный район,2010,6.0
1628000,Новичихинский муниципальный район,2011,5.0
1628000,Новичихинский муниципальный район,2012,6.0
1628000,Новичихинский муниципальный район,2013,5.0
1628000,Новичихинский муниципальный район,2014,5.0
1628000,Новичихинский муниципальный район,2015,4.0
1628000,Новичихинский муниципальный район,2016,4.0
1628000,Новичихинский муниципальный район,2017,4.0
1628000,Новичихинский муниципальный район,2018,5.0
1628000,Новичихинский муниципальный район,2019,4.0
1628000,Новичихинский муниципальный район,2020,7.0
1628000,Новичихинский муниципальный район,2021,5.0
1628000,Новичихинский муниципальный район,2022,5.0
1629000,Зональный муниципальный район,2009,14.0
1629000,Зональный муниципальный район,2010,15.0
1629000,Зональный муниципальный район,2011,10.0
1629000,Зональный муниципальный район,2012,10.0
1629000,Зональный муниципальный район,2013,10.0
1629000,Зональный муниципальный район,2014,11.0
1629000,Зональный муниципальный район,2015,8.0
1629000,Зональный муниципальный район,2016,8.0
1629000,Зональный муниципальный район,2017,7.0
1629000,Зональный муниципальный район,2018,6.0
1629000,Зональный муниципальный район,2019,6.0
1629000,Зональный муниципальный район,2020,7.0
1629000,Зональный муниципальный район,2021,8.0
1629000,Зональный муниципальный район,2022,8.0
1629480,Соколовский сельсовет,2016,3.0
1630000,Павловский муниципальный район,2009,17.0
1630000,Павловский муниципальный район,2010,16.0
1630000,Павловский муниципальный район,2011,11.0
1630000,Павловский муниципальный район,2012,12.0
1630000,Павловский муниципальный район,2013,12.0
1630000,Павловский муниципальный район,2014,13.0
1630000,Павловский муниципальный район,2015,11.0
1630000,Павловский муниципальный район,2016,12.0
1630000,Павловский муниципальный район,2017,13.0
1630000,Павловский муниципальный район,2018,13.0
1630000,Павловский муниципальный район,2019,12.0
1630000,Павловский муниципальный район,2020,15.0
1630000,Павловский муниципальный район,2021,16.0
1630000,Павловский муниципальный район,2022,15.0
1630460,Павловский сельсовет,2016,3.0
1630482,Черемновский сельсовет,2016,3.0
1631000,Панкрушихинский муниципальный район,2009,5.0
1631000,Панкрушихинский муниципальный район,2010,4.0
1631000,Панкрушихинский муниципальный район,2011,6.0
1631000,Панкрушихинский муниципальный район,2012,6.0
1631000,Панкрушихинский муниципальный район,2013,5.0
1631000,Панкрушихинский муниципальный район,2014,5.0
1631000,Панкрушихинский муниципальный район,2015,3.0
1631000,Панкрушихинский муниципальный район,2020,4.0
1631000,Панкрушихинский муниципальный район,2021,4.0
1631000,Панкрушихинский муниципальный район,2022,3.0
1632000,Первомайский муниципальный район,2009,8.0
1632000,Первомайский муниципальный район,2010,6.0
1632000,Первомайский муниципальный район,2011,7.0
1632000,Первомайский муниципальный район,2012,8.0
1632000,Первомайский муниципальный район,2013,8.0
