oktmo,name,year,badcompanies
1635000,Ребрихинский муниципальный район,2016,2.0
1635000,Ребрихинский муниципальный район,2017,3.0
1635000,Ребрихинский муниципальный район,2020,3.0
1635000,Ребрихинский муниципальный район,2022,3.0
1636000,Родинский муниципальный район,2009,2.0
1636000,Родинский муниципальный район,2010,2.0
1636000,Родинский муниципальный район,2011,4.0
1636000,Родинский муниципальный район,2012,3.0
1636000,Родинский муниципальный район,2013,2.0
1636000,Родинский муниципальный район,2014,5.0
1636000,Родинский муниципальный район,2015,3.0
1636000,Родинский муниципальный район,2016,3.0
1636000,Родинский муниципальный район,2017,4.0
1636000,Родинский муниципальный район,2018,5.0
1636000,Родинский муниципальный район,2019,3.0
1637000,Романовский муниципальный район,2009,4.0
1637000,Романовский муниципальный район,2010,3.0
1637000,Романовский муниципальный район,2012,1.0
1637000,Романовский муниципальный район,2013,2.0
1637000,Романовский муниципальный район,2014,3.0
1637000,Романовский муниципальный район,2015,5.0
1637000,Романовский муниципальный район,2016,4.0
1637000,Романовский муниципальный район,2017,3.0
1637000,Романовский муниципальный район,2018,5.0
1637000,Романовский муниципальный район,2020,3.0
1637468,Романовский сельсовет,2016,4.0
1638000,Рубцовский муниципальный район,2009,5.0
1638000,Рубцовский муниципальный район,2010,5.0
1638000,Рубцовский муниципальный район,2011,5.0
1638000,Рубцовский муниципальный район,2012,2.0
1638000,Рубцовский муниципальный район,2014,3.0
1638000,Рубцовский муниципальный район,2015,3.0
1638000,Рубцовский муниципальный район,2016,2.0
1638000,Рубцовский муниципальный район,2019,4.0
1638000,Рубцовский муниципальный район,2021,4.0
1638000,Рубцовский муниципальный район,2022,4.0
1639000,Славгородский муниципальный район,2009,4.0
1639000,Славгородский муниципальный район,2010,2.0
1639000,Славгородский муниципальный район,2011,3.0
1640000,Смоленский муниципальный район,2009,8.0
1640000,Смоленский муниципальный район,2010,8.0
1640000,Смоленский муниципальный район,2011,4.0
1640000,Смоленский муниципальный район,2012,4.0
1640000,Смоленский муниципальный район,2013,7.0
1640000,Смоленский муниципальный район,2014,5.0
1640000,Смоленский муниципальный район,2015,7.0
1640000,Смоленский муниципальный район,2016,4.0
1640000,Смоленский муниципальный район,2017,3.0
1640000,Смоленский муниципальный район,2022,3.0
1641000,Суетский муниципальный район,2009,1.0
1641000,Суетский муниципальный район,2012,1.0
1641000,Суетский муниципальный район,2013,3.0
1641000,Суетский муниципальный район,2014,2.0
1641000,Суетский муниципальный район,2015,2.0
1641000,Суетский муниципальный район,2016,1.0
1641000,Суетский муниципальный район,2020,3.0
1641000,Суетский муниципальный район,2022,3.0
1642000,Советский муниципальный район,2009,5.0
1642000,Советский муниципальный район,2010,1.0
1642000,Советский муниципальный район,2011,2.0
1642000,Советский муниципальный район,2012,2.0
1642000,Советский муниципальный район,2013,2.0
1642000,Советский муниципальный район,2014,2.0
1642000,Советский муниципальный район,2015,1.0
1642000,Советский муниципальный район,2016,1.0
1642452,Советский сельсовет,2016,1.0
1643000,Солонешенский муниципальный район,2009,2.0
1643000,Солонешенский муниципальный район,2010,2.0
1643000,Солонешенский муниципальный район,2011,2.0
1643000,Солонешенский муниципальный район,2012,1.0
1644000,Солтонский муниципальный район,2009,1.0
1644000,Солтонский муниципальный район,2011,1.0
1645000,Шелаболихинский муниципальный район,2011,2.0
1645000,Шелаболихинский муниципальный район,2012,2.0
1645000,Шелаболихинский муниципальный район,2013,1.0
1645000,Шелаболихинский муниципальный район,2014,2.0
1645000,Шелаболихинский муниципальный район,2015,1.0
1646000,Табунский муниципальный район,2010,1.0
1646000,Табунский муниципальный район,2011,1.0
1646000,Табунский муниципальный район,2012,2.0
1646000,Табунский муниципальный район,2013,1.0
1646000,Табунский муниципальный район,2014,1.0
1646000,Табунский муниципальный район,2016,1.0
1646000,Табунский муниципальный район,2022,3.0
1646466,Табунский сельсовет,2016,1.0
1647000,Тальменский муниципальный район,2009,8.0
1647000,Тальменский муниципальный район,2010,6.0
1647000,Тальменский муниципальный район,2011,5.0
1647000,Тальменский муниципальный район,2012,4.0
1647000,Тальменский муниципальный район,2013,5.0
1647000,Тальменский муниципальный район,2014,6.0
1647000,Тальменский муниципальный район,2015,8.0
1647000,Тальменский муниципальный район,2016,6.0
1647000,Тальменский муниципальный район,2017,8.0
1647000,Тальменский муниципальный район,2018,8.0
1647000,Тальменский муниципальный район,2019,7.0
1647000,Тальменский муниципальный район,2020,5.0
1647000,Тальменский муниципальный район,2021,3.0
1647151,Тальменский поссовет,2016,5.0
1648000,Тогульский муниципальный район,2011,1.0
1648000,Тогульский муниципальный район,2012,2.0
1648000,Тогульский муниципальный район,2013,1.0
1648000,Тогульский муниципальный район,2014,2.0
1648000,Тогульский муниципальный район,2015,1.0
1648000,Тогульский муниципальный район,2016,1.0
1649000,Топчихинский муниципальный район,2009,5.0
1649000,Топчихинский муниципальный район,2011,2.0
1649000,Топчихинский муниципальный район,2012,2.0
1649000,Топчихинский муниципальный район,2013,4.0
1649000,Топчихинский муниципальный район,2014,5.0
1649000,Топчихинский муниципальный район,2015,1.0
1650000,Третьяковский муниципальный район,2009,2.0
1650000,Третьяковский муниципальный район,2010,3.0
1650000,Третьяковский муниципальный район,2011,2.0
1650000,Третьяковский муниципальный район,2012,4.0
1650000,Третьяковский муниципальный район,2013,5.0
1650000,Третьяковский муниципальный район,2014,5.0
1650000,Третьяковский муниципальный район,2015,2.0
1651000,Троицкий муниципальный район,2010,2.0
1651000,Троицкий муниципальный район,2011,1.0
1651000,Троицкий муниципальный район,2014,1.0
1652000,Тюменцевский муниципальный район,2009,3.0
1652000,Тюменцевский муниципальный район,2011,1.0
1652000,Тюменцевский муниципальный район,2012,3.0
1652000,Тюменцевский муниципальный район,2013,3.0
1652000,Тюменцевский муниципальный район,2014,3.0
1652000,Тюменцевский муниципальный район,2015,2.0
