oktmo,name,year,avgemployers
3607000,Белоглинский муниципальный район,2013,5277.0
3607000,Белоглинский муниципальный район,2014,5020.0
3607000,Белоглинский муниципальный район,2015,4924.0
3607000,Белоглинский муниципальный район,2016,4918.0
3608000,Белореченский муниципальный район,2013,15831.0
3608000,Белореченский муниципальный район,2014,15170.0
3608000,Белореченский муниципальный район,2015,15188.0
3608000,Белореченский муниципальный район,2016,15649.0
3610000,Брюховецкий муниципальный район,2013,8989.0
3610000,Брюховецкий муниципальный район,2014,8570.0
3610000,Брюховецкий муниципальный район,2015,8251.0
3610000,Брюховецкий муниципальный район,2016,8132.0
3612000,Выселковский муниципальный район,2013,18038.0
3612000,Выселковский муниципальный район,2014,17692.0
3612000,Выселковский муниципальный район,2015,18176.0
3612000,Выселковский муниципальный район,2016,18213.0
3613000,Гулькевичский муниципальный район,2013,18084.0
3613000,Гулькевичский муниципальный район,2014,16802.0
3613000,Гулькевичский муниципальный район,2015,15459.0
3613000,Гулькевичский муниципальный район,2016,14376.0
3614000,Динской муниципальный район,2013,17366.0
3614000,Динской муниципальный район,2014,16691.0
3614000,Динской муниципальный район,2015,17213.0
3614000,Динской муниципальный район,2016,16954.0
3616000,Ейский муниципальный район,2013,23057.0
3616000,Ейский муниципальный район,2014,22236.0
3616000,Ейский муниципальный район,2015,21326.0
3616000,Ейский муниципальный район,2016,20678.0
3618000,Кавказский муниципальный район,2013,22033.0
3618000,Кавказский муниципальный район,2014,21490.0
3618000,Кавказский муниципальный район,2015,20590.0
3618000,Кавказский муниципальный район,2016,19335.0
3619000,Калининский муниципальный район,2013,6609.0
3619000,Калининский муниципальный район,2014,6104.0
3619000,Калининский муниципальный район,2015,6052.0
3619000,Калининский муниципальный район,2016,6059.0
3620000,Каневской муниципальный район,2013,20389.0
3620000,Каневской муниципальный район,2014,19324.0
3620000,Каневской муниципальный район,2015,18809.0
3620000,Каневской муниципальный район,2016,18435.0
3621000,Кореновский муниципальный район,2013,12311.0
3621000,Кореновский муниципальный район,2014,12411.0
3621000,Кореновский муниципальный район,2015,12914.0
3621000,Кореновский муниципальный район,2016,12957.0
3623000,Красноармейский муниципальный район,2013,14813.0
3623000,Красноармейский муниципальный район,2014,14275.0
3623000,Красноармейский муниципальный район,2015,14166.0
3623000,Красноармейский муниципальный район,2016,13880.0
3624000,Крыловский муниципальный район,2013,3935.0
3624000,Крыловский муниципальный район,2014,3862.0
3624000,Крыловский муниципальный район,2015,3516.0
3624000,Крыловский муниципальный район,2016,3559.0
3625000,Крымский муниципальный район,2013,16236.0
3625000,Крымский муниципальный район,2014,17539.0
3625000,Крымский муниципальный район,2015,17916.0
3625000,Крымский муниципальный район,2016,16295.0
3627000,Курганинский муниципальный район,2013,13753.0
3627000,Курганинский муниципальный район,2014,12801.0
3627000,Курганинский муниципальный район,2015,12263.0
3627000,Курганинский муниципальный район,2016,12424.0
3628000,Кущевский муниципальный район,2013,12021.0
3628000,Кущевский муниципальный район,2014,12722.0
3628000,Кущевский муниципальный район,2015,12292.0
3628000,Кущевский муниципальный район,2016,12062.0
3630000,Лабинский муниципальный район,2013,15443.0
3630000,Лабинский муниципальный район,2014,15516.0
3630000,Лабинский муниципальный район,2015,15621.0
3630000,Лабинский муниципальный район,2016,15001.0
3632000,Ленинградский муниципальный район,2013,12018.0
3632000,Ленинградский муниципальный район,2014,11728.0
3632000,Ленинградский муниципальный район,2015,11192.0
3632000,Ленинградский муниципальный район,2016,10711.0
3633000,Мостовский муниципальный район,2013,9029.0
3633000,Мостовский муниципальный район,2014,9220.0
3633000,Мостовский муниципальный район,2015,8789.0
3633000,Мостовский муниципальный район,2016,8424.0
3634000,Новокубанский муниципальный район,2013,14283.0
3634000,Новокубанский муниципальный район,2014,13815.0
3634000,Новокубанский муниципальный район,2015,13772.0
3634000,Новокубанский муниципальный район,2016,13625.0
3635000,Новопокровский муниципальный район,2013,6647.0
3635000,Новопокровский муниципальный район,2014,6399.0
3635000,Новопокровский муниципальный район,2015,5969.0
3635000,Новопокровский муниципальный район,2016,5716.0
3637000,Отрадненский муниципальный район,2013,7413.0
3637000,Отрадненский муниципальный район,2014,7171.0
3637000,Отрадненский муниципальный район,2015,6885.0
3637000,Отрадненский муниципальный район,2016,6823.0
3639000,Павловский муниципальный район,2013,11948.0
3639000,Павловский муниципальный район,2014,11421.0
3639000,Павловский муниципальный район,2015,11086.0
3639000,Павловский муниципальный район,2016,10999.0
3641000,Приморско-Ахтарский муниципальный район,2013,7870.0
3641000,Приморско-Ахтарский муниципальный район,2014,7576.0
3641000,Приморско-Ахтарский муниципальный район,2015,7126.0
3641000,Приморско-Ахтарский муниципальный район,2016,7050.0
3643000,Северский муниципальный район,2013,17535.0
3643000,Северский муниципальный район,2014,17440.0
3643000,Северский муниципальный район,2015,17202.0
3643000,Северский муниципальный район,2016,16265.0
3645000,Славянский муниципальный район,2013,25361.0
3645000,Славянский муниципальный район,2014,24301.0
3645000,Славянский муниципальный район,2015,23612.0
3645000,Славянский муниципальный район,2016,22040.0
3647000,Староминский муниципальный район,2013,7776.0
3647000,Староминский муниципальный район,2014,7722.0
3647000,Староминский муниципальный район,2015,7595.0
3647000,Староминский муниципальный район,2016,6990.0
3649000,Тбилисский муниципальный район,2013,7883.0
3649000,Тбилисский муниципальный район,2014,7742.0
3649000,Тбилисский муниципальный район,2015,7447.0
3649000,Тбилисский муниципальный район,2016,7060.0
3651000,Темрюкский муниципальный район,2013,23141.0
3651000,Темрюкский муниципальный район,2014,24339.0
3651000,Темрюкский муниципальный район,2015,24230.0
3651000,Темрюкский муниципальный район,2016,25326.0
3653000,Тимашевский муниципальный район,2013,22210.0
3653000,Тимашевский муниципальный район,2014,22200.0
3653000,Тимашевский муниципальный район,2015,21621.0
3653000,Тимашевский муниципальный район,2016,21307.0
3654000,Тихорецкий муниципальный район,2013,26759.0
3654000,Тихорецкий муниципальный район,2014,25739.0
3654000,Тихорецкий муниципальный район,2015,24535.0
3654000,Тихорецкий муниципальный район,2016,23817.0
3655000,Туапсинский муниципальный район,2013,32991.0
3655000,Туапсинский муниципальный район,2014,31745.0
3655000,Туапсинский муниципальный район,2015,30739.0
3655000,Туапсинский муниципальный район,2016,30752.0
3656000,Успенский муниципальный район,2013,5787.0
3656000,Успенский муниципальный район,2014,5745.0
3656000,Успенский муниципальный район,2015,5804.0
3656000,Успенский муниципальный район,2016,5658.0
3657000,Усть-Лабинский муниципальный район,2013,21446.0
3657000,Усть-Лабинский муниципальный район,2014,20425.0
3657000,Усть-Лабинский муниципальный район,2015,19688.0
3657000,Усть-Лабинский муниципальный район,2016,18707.0
3659000,Щербиновский муниципальный район,2013,6790.0
3659000,Щербиновский муниципальный район,2014,6422.0
3659000,Щербиновский муниципальный район,2015,6717.0
3659000,Щербиновский муниципальный район,2016,6404.0
3701000,город Краснодар,2013,277284.0
3701000,город Краснодар,2014,282701.0
3701000,город Краснодар,2015,286747.0
3701000,город Краснодар,2016,290097.0
3703000,город-курорт Анапа,2013,25553.0
3703000,город-курорт Анапа,2014,26216.0
3703000,город-курорт Анапа,2015,27699.0
3703000,город-курорт Анапа,2016,26239.0
3705000,город Армавир,2013,37000.0
3705000,город Армавир,2014,36944.0
3705000,город Армавир,2015,35912.0
3705000,город Армавир,2016,34652.0
3708000,город-курорт Геленджик,2013,18812.0
3708000,город-курорт Геленджик,2014,18919.0
3708000,город-курорт Геленджик,2015,18657.0
3708000,город-курорт Геленджик,2016,18544.0
3709000,город Горячий Ключ,2013,9375.0
3709000,город Горячий Ключ,2014,9863.0
3709000,город Горячий Ключ,2015,9795.0
3709000,город Горячий Ключ,2016,9596.0
