saldo,foodseats,sportsvenue,servicesnum,library,cultureorg,musartschool
0.019959058341862845,0.17030091583078935,0.109375,0.34704370179948585,0.45,0.45,0.4
0.06345957011258956,0.05538595726122983,0.025,0.17994858611825193,0.1,0.05,0.2
0.014841351074718526,0.06149149585695595,0.025,0.19794344473007713,0.1,0.05,0.2
0.025076765609007165,0.0867858700392499,0.025,0.21079691516709512,0.1,0.05,0.2
0.024053224155578302,0.034452682075883125,0.025,0.10282776349614396,0.05,0.05,0.2
0.025076765609007165,0.034452682075883125,0.025,0.10539845758354756,0.05,0.05,0.2
0.015353121801432957,0.265372873964239,0.21875,0.3676092544987147,0.1,0.15,0.4
0.0931422722620266,0.265372873964239,0.225,0.37275064267352187,0.1,0.15,0.4
0.04196519959058342,0.265372873964239,0.225,0.37275064267352187,0.1,0.15,0.4
0.08853633572159672,0.03706934147405146,0.05625,0.05398457583547558,0.05,0.1,0.2
0.06397134083930399,0.03706934147405146,0.05625,0.05398457583547558,0.05,0.1,0.2
0.008188331627430911,0.015263846489315308,0.03125,0.02313624678663239,0.05,0.1,0.2
0.0511770726714432,0.04143044047099869,0.03125,0.02570694087403599,0.05,0.1,0.2
0.20931422722620266,0.15939816833842127,0.478125,0.4318766066838046,1.0,1.0,0.4
0.4344933469805527,0.19515918011338856,0.478125,0.40616966580976865,0.9,0.95,0.4
0.19447287615148415,0.20170082860880942,0.478125,0.38303341902313626,0.85,0.95,0.4
0.07062436028659161,0.1559092891408635,0.1875,0.2930591259640103,0.4,0.25,0.2
0.0010235414534288639,0.16027038813781072,0.1875,0.30077120822622105,0.4,0.25,0.2
0.15609007164790173,0.16027038813781072,0.1875,0.3161953727506427,0.4,0.3,0.2
0.07420675537359263,0.007631923244657654,0.071875,0.038560411311053984,0.05,0.1,0.2
0.022517911975435005,0.05276929786306149,0.04375,0.05912596401028278,0.05,0.05,0.2
0.02302968270214944,0.05276929786306149,0.04375,0.056555269922879174,0.05,0.05,0.2
0.05066530194472876,0.12232882686436983,0.16875,0.4087403598971722,0.1,0.05,0.2
0.03991811668372569,0.12232882686436983,0.165625,0.4087403598971722,0.1,0.05,0.2
0.04861821903787104,0.026166593981683386,0.046875,0.05398457583547558,0.05,0.1,0.2
0.1008188331627431,0.01744439598778892,0.046875,0.061696658097686374,0.05,0.1,0.2
0.07983623336745138,0.01744439598778892,0.046875,0.056555269922879174,0.05,0.1,0.2
0.024053224155578302,0.057130396860008724,0.06875,0.061696658097686374,0.05,0.1,0.2
0.007676560900716479,0.057130396860008724,0.0625,0.061696658097686374,0.05,0.1,0.2
0.019447287615148412,0.057130396860008724,0.0625,0.061696658097686374,0.05,0.1,0.2
0.03224155578300921,0.11971216746620149,0.0625,0.11311053984575835,0.05,0.05,0.2
0.04605936540429888,0.11556912341910161,0.0625,0.14652956298200515,0.05,0.05,0.2
0.05578300921187308,0.2093327518534671,0.13125,0.2622107969151671,0.5,0.8,0.6
0.150460593654043,0.226777147841256,0.128125,0.2647814910025707,0.5,0.7,0.6
0.02354145342886387,0.22895769733972962,0.128125,0.26735218508997427,0.5,0.7,0.6
0.14073694984646878,0.1105538595726123,0.04375,0.12339331619537275,0.15,0.2,0.2
0.02456499488229273,0.11273440907108591,0.04375,0.12596401028277635,0.15,0.2,0.2
0.02098259979529171,0.714129960750109,0.3625,0.5604113110539846,0.1,0.15,0.2
0.009723643807574206,0.6836022677714784,0.3625,0.5732647814910026,0.1,0.15,0.2
0.07011258955987718,0.08722197993894461,0.084375,0.09768637532133675,0.05,0.1,0.2
0.005629477993858751,0.1995202791103358,0.221875,0.40102827763496146,0.25,0.15,0.6
0.02354145342886387,0.22132577409507195,0.221875,0.35989717223650386,0.25,0.15,0.6
0.07062436028659161,0.03924989097252508,0.0125,0.14138817480719795,0.1,0.05,0.2
0.15097236438075742,0.44374182293938075,0.63125,0.609254498714653,0.9,0.9,0.2
0.02098259979529171,0.3434365460095944,0.2625,0.5681233933161953,0.1,0.1,0.2
0.08802456499488229,0.3434365460095944,0.2625,0.5681233933161953,0.1,0.1,0.2
0.10440122824974411,0.3639337112952464,0.2625,0.5295629820051414,0.1,0.15,0.2
0.14278403275332652,0.28347143480157,0.259375,0.519280205655527,0.7,0.9,0.6
0.04094165813715456,0.2867422590492804,0.259375,0.5038560411311054,0.75,0.85,0.6
0.12231320368474924,0.2882686436982119,0.259375,0.519280205655527,0.8,0.85,0.6
0.2906857727737973,0.2980811164413432,0.271875,0.519280205655527,0.8,0.85,0.6
0.3741044012282497,0.301569995638901,0.278125,0.5141388174807198,0.05,0.85,0.6
0.21699078812691913,0.21979938944614041,0.184375,0.46272493573264784,0.05,0.25,0.4
0.032753326509723645,0.17531617967727867,0.1375,0.2596401028277635,0.15,0.1,0.2
0.02968270214943705,0.04622764936764064,0.04375,0.09511568123393316,0.25,0.2,0.2
0.07420675537359263,0.22067160924552987,0.090625,0.4498714652956298,0.2,0.15,0.4
0.032753326509723645,0.08525948539031836,0.325,0.31876606683804626,0.45,0.5,0.6
0.02661207778915046,0.058656781508940256,0.1125,0.2647814910025707,0.1,0.15,0.4
0.007164790174002047,0.19079808111644134,0.121875,0.2879177377892031,0.3,0.3,0.2
0.011770726714431934,0.030527692978630616,0.00625,0.010282776349614395,0.1,0.2,0.2
