oktmo,name,year,saldo
1615425,Калистратихинский сельсовет,2011,-24.0
1615427,Калманский сельсовет,2011,-140.0
1615435,Кубанский сельсовет,2011,-2.0
1615450,Шиловский сельсовет,2011,-49.0
1615457,Новоромановский сельсовет,2011,-36.0
1615468,Обской сельсовет,2011,-11.0
1615480,Усть-Алейский сельсовет,2011,2.0
1615485,Шадринский сельсовет,2011,-41.0
1616000,Каменский муниципальный район,2011,-202.0
1616404,Аллакский сельсовет,2011,-15.0
1616413,Верх-Аллакский сельсовет,2011,0.0
1616417,Гоноховский сельсовет,2011,-28.0
1616437,Корниловский сельсовет,2011,-39.0
1616461,Новоярковский сельсовет,2011,-2.0
1616468,Плотниковский сельсовет,2011,-44.0
1616473,Попереченский сельсовет,2011,1.0
1616475,Пригородный сельсовет,2011,-24.0
1616482,Рыбинский сельсовет,2011,-26.0
1616486,Столбовский сельсовет,2011,-39.0
1616490,Телеутский сельсовет,2011,25.0
1616494,Толстовский сельсовет,2011,-19.0
1616497,Филипповский сельсовет,2011,8.0
1617000,Ключевский муниципальный район,2011,-366.0
1617406,Васильчуковский сельсовет,2011,-20.0
1617412,Зелёнополянский сельсовет,2011,-12.0
1617415,Истимисский сельсовет,2011,-18.0
1617424,Ключевский сельсовет,2011,-112.0
1617435,Новополтавский сельсовет,2011,-8.0
1617437,Новоцелинный сельсовет,2011,-42.0
1617446,Петуховский сельсовет,2011,-34.0
1617468,Покровский сельсовет,2011,-10.0
1617479,Северский сельсовет,2011,-73.0
1618000,Косихинский муниципальный район,2011,-335.0
1618406,Баюновский сельсовет,2011,-80.0
1618414,Верх-Жилинский сельсовет,2011,-2.0
1618420,Глушинский сельсовет,2011,-36.0
1618425,Каркавинский сельсовет,2011,-19.0
1618430,Контошинский сельсовет,2011,-72.0
1618434,Косихинский сельсовет,2011,-14.0
1618449,Малаховский сельсовет,2011,22.0
1618460,Налобихинский сельсовет,2011,-14.0
1618466,Плотниковский сельсовет,2011,-37.0
1618468,Полковниковский сельсовет,2011,-20.0
1618472,Романовский сельсовет .,2011,-24.0
1619000,Красногорский муниципальный район,2011,-55.0
1619405,Берёзовский сельсовет,2011,33.0
1619407,Быстрянский сельсовет,2011,23.0
1619423,Красногорский сельсовет,2011,-71.0
1619445,Новозыковский сельсовет,2011,-10.0
1619447,Новоталовский сельсовет,2011,-16.0
1619456,Соусканихинский сельсовет,2011,-2.0
1619478,Усть-Ишинский сельсовет,2011,-12.0
1619489,Усть-Кажинский сельсовет,2011,0.0
1620000,Краснощёковский муниципальный район,2011,-321.0
1620406,Акимовский сельсовет,2011,-17.0
1620412,Берёзовский сельсовет,2011,-11.0
1620417,Верх-Камышенский сельсовет,2011,-29.0
1620424,Карповский сельсовет,2011,-34.0
1620430,Краснощёковский сельсовет,2011,-66.0
1620436,Куйбышевский сельсовет,2011,-27.0
1620442,Маралихинский сельсовет,2011,-39.0
1620448,Новошипуновский сельсовет,2011,-26.0
1620459,Суетский сельсовет,2011,8.0
1620468,Усть-Беловский сельсовет,2011,-9.0
1620470,Усть-Козлухинский сельсовет,2011,-9.0
1620472,Усть-Пустынский сельсовет,2011,-5.0
1620481,Харловский сельсовет,2011,-43.0
1620492,Чинетинский сельсовет,2011,-14.0
1621000,Крутихинский муниципальный район,2011,-283.0
1621406,Боровской сельсовет,2011,-10.0
1621412,Волчно-Бурлинский сельсовет,2011,-23.0
1621418,Долганский сельсовет,2011,-67.0
1621424,Заковряшинский сельсовет,2011,-20.0
1621430,Крутихинский сельсовет,2011,-95.0
1621436,Маловолчанский сельсовет,2011,-16.0
1621442,Новодубровский сельсовет,2011,-25.0
1621446,Подборный сельсовет,2011,2.0
1621448,Прыганский сельсовет,2011,-29.0
1622000,Кулундинский муниципальный район,2011,-169.0
1622411,Ананьевский сельсовет,2011,-24.0
1622433,Воздвиженский сельсовет,2011,-28.0
1622444,Златополинский сельсовет,2011,-46.0
1622455,Константиновский сельсовет,2011,-26.0
1622460,Кулундинский сельсовет,2011,60.0
1622466,Курский сельсовет,2011,-73.0
1622472,Мирабилитский сельсовет,2011,5.0
1622477,Октябрьский сельсовет,2011,-23.0
1622488,Семёновский сельсовет,2011,-14.0
1623000,Курьинский муниципальный район,2011,-205.0
1623411,Бугрышихинский сельсовет,2011,-8.0
1623422,Ивановский сельсовет,2011,-38.0
1623433,Казанцевский сельсовет,2011,-32.0
1623438,Колыванский сельсовет,2011,-23.0
1623444,Краснознаменский сельсовет,2011,-18.0
1623455,Кузнецовский сельсовет,2011,-9.0
1623466,Курьинский сельсовет,2011,-48.0
1623468,Новофирсовский сельсовет,2011,-7.0
1623477,Трусовский сельсовет,2011,-13.0
1623488,Усть-Таловский сельсовет,2011,-9.0
1624000,Кытмановский муниципальный район,2011,-277.0
1624407,Дмитро-Титовский сельсовет,2011,-55.0
1624423,Кытмановский сельсовет,2011,-55.0
1624434,Червовский сельсовет,2011,-11.0
1624446,Новотарабинский сельсовет,2011,-23.0
1624457,Октябрьский сельсовет,2011,-27.0
1624462,Отрадненский сельсовет,2011,0.0
1624467,Петрушихинский сельсовет,2011,-2.0
1624469,Порошинский сельсовет,2011,-39.0
1624480,Семено-Красиловский сельсовет,2011,-11.0
1624482,Сосновологовской сельсовет,2011,-6.0
1624491,Сунгайский сельсовет,2011,-25.0
1624493,Тягунский сельсовет,2011,-24.0
1624494,Тяхтинский сельсовет,2011,1.0
1625000,Локтевский муниципальный район,2011,-673.0
1625101,город Горняк,2011,-143.0
1625404,Александровский сельсовет,2011,-34.0
1625409,Второкаменский сельсовет,2011,-13.0
1625413,Георгиевский сельсовет,2011,-36.0
1625417,Гилёвский сельсовет,2011,-71.0
1625426,Кировский сельсовет,2011,-23.0
1625434,Локтевский сельсовет,2011,-9.0
1625466,Покровский сельсовет,2011,-8.0
1625473,Ремовский сельсовет,2011,-24.0
1625476,Самарский сельсовет,2011,-38.0
1625484,Успенский сельсовет,2011,-39.0
1625495,Устьянский сельсовет,2011,-32.0
1626000,Мамонтовский муниципальный район,2011,-281.0
1626406,Буканский сельсовет,2011,24.0
1626412,Гришенский сельсовет,2011,-28.0
1626417,Ермачихинский сельсовет,2011,-15.0
1626424,Кадниковский сельсовет,2011,-42.0
1626429,Комсомольский сельсовет,2011,-41.0
1626434,Корчинский сельсовет,2011,-20.0
1626437,Костино-Логовской сельсовет,2011,-5.0
1626442,Крестьянский сельсовет,2011,-8.0
1626449,Мамонтовский сельсовет,2011,-88.0
1626460,Островновский сельсовет,2011,-38.0
1626468,Покровский сельсовет,2011,2.0
1626473,Сусловский сельсовет,2011,14.0
1626478,Тимирязевский сельсовет,2011,-23.0
1626482,Травновский сельсовет,2011,-5.0
1626492,Чернокурьинский сельсовет,2011,-8.0
1627000,Михайловский муниципальный район,2011,-172.0
1627154,Малиновоозёрский поссовет,2011,-36.0
1627405,Ащегульский сельсовет,2011,-6.0
